year,pernoc_andalucia_abs,pernoc_balears_abs,pernoc_cataluña_abs,pernoc_valencia_abs,pernoc_madrid_abs
2017,24828913.0572,20624497.421800002,36808020.534,10971112.7151,29318253.436499998
2018,24690054.0118,16055939.269,38533337.3716,11725440.014800001,29264513.17
2019,26221311.0705,18836842.0693,40668568.8577,11602880.8847,29578285.2791
2020,6071689.7295,2056108.7694,8717664.8222,2364802.9891,6423548.2623000005
2021,12090628.3456,7563889.8036,19008419.9072,5236082.9243,15140376.7359
2022,24254242.6656,16016019.3689,37290410.9523,10335404.0505,29482146.4518
2023,25590538.9914,19715852.364099998,39770127.3703,10455650.42,33474573.463099997
2024,25674943.027,24157179.8415,40422621.5937,11362568.9159,34184928.7682
