provincia_simp,viajeros_andalucia_abs,viajeros_aragon_abs,viajeros_asturias_abs,viajeros_balears_abs,viajeros_canarias_abs,viajeros_cantabria_abs,viajeros_castilla_leon_abs,viajeros_castilla_mancha_abs,viajeros_cataluña_abs,viajeros_valencia_abs,viajeros_extremadura_abs,viajeros_galicia_abs,viajeros_madrid_abs,viajeros_murcia_abs,viajeros_navarra_abs,viajeros_pais_vasco_abs,viajeros_rioja_abs,viajeros_ceuta_abs,viajeros_melilla_abs
Barcelona,222947.1571,83515.87909999999,26247.9227,81666.7261,51268.8378,20687.6346,57507.0175,55234.8506,1492945.8117,207743.6631,23535.0117,81668.9801,737873.5392,34945.5899,36237.4779,122410.3941,17487.595,9679.3267,5106.424300000001
Girona,29689.6333,21718.0404,5597.2789,17275.8738,6996.5695,4618.2889000000005,14342.4174,13181.469799999999,1350140.675,49563.2376,4832.6683,14603.15,111421.1395,8952.2191,8337.6787,36740.7343,3413.9243,837.4679000000001,610.5798
Illes Balears,136837.2243,20047.3872,22129.3726,559133.4065,20503.6323,12009.335799999999,32745.5405,22271.1177,236115.2551,109369.2887,11948.7927,44680.6412,291422.547,17714.0603,11706.5897,48574.7322,5280.0907,5568.3658000000005,1316.644
Madrid,915035.6871,160677.2919,176911.0126,154030.1162,230362.0705,121076.1911,318864.3767,227659.6011,904932.1536,589197.7479,166989.8223,324362.5365,1677174.3033,191002.39059999998,101960.8143,292438.1117,60295.9413,28320.8763,13707.8207
Málaga,1155910.3316,16457.665399999998,17849.3827,64668.6369,24023.9785,11832.355,44106.568100000004,66521.20360000001,146028.5055,70529.54860000001,48351.768299999996,45781.025799999996,397946.5972,31755.502099999998,10627.2607,55282.3942,5093.0635999999995,22965.2764,24722.0916
Sevilla,719325.1178,23515.346700000002,19788.7335,23677.0497,37302.8824,19589.3204,57950.0208,52795.4517,131540.6189,80601.0594,70005.14289999999,40618.7341,355794.4089,30112.7441,12592.7699,41190.0168,9269.6802,8664.8366,1493.3122
Valencia,234980.9386,53851.896,16748.7676,40699.9015,17856.4366,9981.144,63472.4768,106718.04490000001,230901.4275,463005.5785,16944.493300000002,34556.4156,562860.5476,68321.64170000001,15178.6882,52463.5418,8777.722099999999,12107.0712,870.8568
