periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext
2023M11,46 Valencia/València,263959,148640,115319,542245,270731,271515
2023M11,28 Madrid,1064684,583167,481516,2130175,1028629,1101546
2023M10,29 Málaga,623385,192347,431038,2186066,418870,1767196
2023M10,41 Sevilla,364920,161023,203897,723477,278737,444740
2023M10,"07 Balears, Illes",1189276,148089,1041187,6381337,442356,5938981
2023M10,08 Barcelona,1222542,315869,906673,3171014,589710,2581304
2023M10,17 Girona,385596,147501,238094,1076982,266361,810621
2023M10,46 Valencia/València,320136,169872,150264,710956,336173,374783
2023M10,28 Madrid,1125946,526741,599205,2335634,961581,1374053
2023M09,29 Málaga,636614,205859,430755,2302322,512787,1789535
2023M09,41 Sevilla,337835,153142,184693,667277,254620,412657
2023M09,"07 Balears, Illes",1691128,176703,1514425,9058858,652248,8406610
2023M09,08 Barcelona,1216170,290347,925823,3349029,555333,2793696
2023M09,17 Girona,496403,181503,314900,1582302,380955,1201347
2023M09,46 Valencia/València,327939,176910,151029,799324,417289,382035
2023M09,28 Madrid,1148967,562876,586090,2301663,989249,1312414
2023M08,29 Málaga,719761,310534,409226,2804728,955822,1848907
2023M08,41 Sevilla,323252,139187,184065,641777,236241,405536
2023M08,"07 Balears, Illes",1979182,239946,1739237,11054556,1043279,10011278
2023M08,08 Barcelona,1311861,280876,1030985,4026789,649993,3376797
2023M08,17 Girona,636179,264027,372153,2335305,789014,1546291
2023M08,46 Valencia/València,369580,199350,170230,1017753,552250,465503
2023M08,28 Madrid,1007541,474758,532784,1990751,845787,1144964
2023M07,29 Málaga,689693,303567,386126,2569254,827761,1741493
2023M07,41 Sevilla,297598,144052,153546,557786,227117,330669
2023M07,"07 Balears, Illes",1972703,237710,1734992,10613015,974544,9638472
2023M07,08 Barcelona,1342584,337404,1005179,3835022,694572,3140450
2023M07,17 Girona,590663,227893,362769,2099009,591426,1507584
2023M07,46 Valencia/València,349183,195406,153777,932056,515682,416375
2023M07,28 Madrid,1111137,548761,562376,2189610,936220,1253390
2023M06,29 Málaga,618969,246981,371988,2222614,595536,1627078
2023M06,41 Sevilla,325922,163255,162667,618585,264895,353690
2023M06,"07 Balears, Illes",1814007,244635,1569372,8993003,889859,8103144
2023M06,08 Barcelona,1263049,330907,932142,3300032,632369,2667663
2023M06,17 Girona,514135,239930,274205,1490213,485185,1005028
2023M06,46 Valencia/València,352828,212128,140700,823690,471584,352106
2023M06,28 Madrid,1163021,615801,547220,2239681,1010384,1229297
2023M05,29 Málaga,624905,183084,441821,2152554,405516,1747038
2023M05,41 Sevilla,352514,167518,184996,692027,281827,410200
2023M05,"07 Balears, Illes",1492772,195761,1297010,7258921,644969,6613952
2023M05,08 Barcelona,1251693,339829,911864,3187797,649336,2538461
2023M05,17 Girona,443609,146828,296780,1217666,294462,923204
2023M05,46 Valencia/València,326274,178828,147446,750754,383981,366773
2023M05,28 Madrid,1117578,567796,549782,2224662,951054,1273608
2023M04,29 Málaga,601632,211742,389890,1965338,500061,1465277
2023M04,41 Sevilla,351424,168951,182473,726702,313102,413601
2023M04,"07 Balears, Illes",766096,109541,656555,3350022,297000,3053023
2023M04,08 Barcelona,1102659,298082,804577,2882769,616293,2266476
2023M04,17 Girona,414955,192039,222915,1037458,385678,651780
2023M04,46 Valencia/València,333301,194351,138949,792604,426191,366413
2023M04,28 Madrid,1077543,566092,511451,2247895,1028904,1218991
2023M03,29 Málaga,463698,200193,263505,1368261,425355,942906
2023M03,41 Sevilla,314817,166958,147858,643519,307168,336351
2023M03,"07 Balears, Illes",230407,62568,167839,944911,173879,771032
2023M03,08 Barcelona,953261,312242,641018,2347803,603748,1744055
2023M03,17 Girona,187875,100350,87525,415967,190360,225607
2023M03,46 Valencia/València,305012,189978,115034,662350,380411,281939
2023M03,28 Madrid,1053885,582240,471645,2040209,975377,1064832
2023M02,29 Málaga,313400,151277,162123,928384,304848,623536
2023M02,41 Sevilla,268601,155381,113220,526552,264978,261574
2023M02,"07 Balears, Illes",124782,51577,73205,466420,140170,326250
2023M02,08 Barcelona,768787,252316,516471,1951571,487297,1464273
2023M02,17 Girona,145938,84001,61937,290680,145810,144870
2023M02,46 Valencia/València,229187,140086,89102,464102,246297,217805
2023M02,28 Madrid,879144,523275,355868,1705884,903932,801952
2023M01,29 Málaga,264643,117089,147553,759798,234979,524819
2023M01,41 Sevilla,244929,135802,109127,481877,236477,245400
2023M01,"07 Balears, Illes",75909,35443,40466,237815,85942,151873
2023M01,08 Barcelona,707279,249509,457770,1703654,462121,1241533
2023M01,17 Girona,122352,77001,45351,240467,138992,101475
2023M01,46 Valencia/València,217225,130482,86743,428678,226343,202335
2023M01,28 Madrid,888093,532766,355327,1736647,920267,816381
2022M12,29 Málaga,284226,150406,133820,780093,325403,454689
2022M12,41 Sevilla,242998,142195,100802,484304,261724,222580
2022M12,"07 Balears, Illes",80696,35980,44716,248269,80586,167682
2022M12,08 Barcelona,743057,264577,478479,1761045,498284,1262761
2022M12,17 Girona,155444,101790,53654,298209,189849,108360
2022M12,46 Valencia/València,224864,140763,84102,473440,257729,215711
2022M12,28 Madrid,967750,620080,347670,1903855,1111786,792069
2022M11,29 Málaga,304416,144414,160002,951880,312872,639008
2022M11,41 Sevilla,271748,159021,112726,560705,293812,266893
2022M11,"07 Balears, Illes",111194,44337,66857,398085,97922,300163
2022M11,08 Barcelona,822356,267015,555341,1993005,508819,1484186
2022M11,17 Girona,139248,75232,64016,283568,130250,153317
2022M11,46 Valencia/València,248390,148180,100210,513506,275285,238221
2022M11,28 Madrid,1004095,593671,410424,1932711,991945,940766
2022M10,29 Málaga,539765,183271,356494,1914915,409627,1505288
2022M10,41 Sevilla,330034,163745,166288,663795,295621,368174
2022M10,"07 Balears, Illes",1072128,167105,905023,5604472,419017,5185455
2022M10,08 Barcelona,1154049,316090,837958,2922521,607951,2314570
2022M10,17 Girona,351089,148190,202899,874310,253035,621275
2022M10,46 Valencia/València,305025,165661,139364,669537,320077,349460
2022M10,28 Madrid,1104026,582487,521538,2242371,1012992,1229379
2022M09,29 Málaga,620194,224895,395299,2155199,572890,1582309
2022M09,41 Sevilla,324963,164561,160402,635577,278099,357478
2022M09,"07 Balears, Illes",1618513,187516,1430997,8678063,687086,7990977
2022M09,08 Barcelona,1141853,296716,845137,3078699,596473,2482226
2022M09,17 Girona,453933,176025,277909,1377674,372824,1004850
2022M09,46 Valencia/València,319325,181953,137372,807766,425714,382052
2022M09,28 Madrid,1048624,550019,498605,2066264,932436,1133828
2022M08,29 Málaga,665325,321902,343423,2672820,1054152,1618668
2022M08,41 Sevilla,308841,147417,161425,617433,253516,363917
2022M08,"07 Balears, Illes",1954444,284123,1670321,10779452,1192546,9586906
2022M08,08 Barcelona,1234023,283775,950248,3874913,692499,3182414
2022M08,17 Girona,628238,273522,354716,2360768,826799,1533968
2022M08,46 Valencia/València,367124,199207,167917,1028520,559409,469110
2022M08,28 Madrid,855535,448780,406755,1701671,786584,915087
2022M07,29 Málaga,686330,334995,351335,2529662,954203,1575458
2022M07,41 Sevilla,262989,138999,123990,502287,225997,276290
2022M07,"07 Balears, Illes",1904858,242215,1662644,10386341,936133,9450208
2022M07,08 Barcelona,1261966,335624,926342,3679867,724881,2954985
2022M07,17 Girona,588305,244445,343860,2068066,619760,1448306
2022M07,46 Valencia/València,371848,216352,155496,948459,543356,405103
2022M07,28 Madrid,961454,480539,480915,1922656,830820,1091837
2022M06,29 Málaga,611199,258698,352500,2161308,623015,1538293
2022M06,41 Sevilla,313214,175085,138129,611078,296052,315026
2022M06,"07 Balears, Illes",1742424,238985,1503440,8956158,826105,8130054
2022M06,08 Barcelona,1140167,303980,836187,3209021,659593,2549429
2022M06,17 Girona,509322,255088,254234,1385761,525728,860032
2022M06,46 Valencia/València,335018,208777,126241,794544,459584,334960
2022M06,28 Madrid,1016352,554884,461468,2029532,940874,1088657
2022M05,29 Málaga,590649,216312,374336,2025618,511654,1513964
2022M05,41 Sevilla,323040,160761,162280,657845,291585,366260
2022M05,"07 Balears, Illes",1378649,174365,1204285,6377225,525630,5851595
2022M05,08 Barcelona,1080995,292049,788946,2917788,614237,2303551
2022M05,17 Girona,379462,148939,230522,980345,294420,685925
2022M05,46 Valencia/València,320639,185418,135221,759457,397184,362273
2022M05,28 Madrid,1010998,550965,460034,2052491,941725,1110766
2022M04,29 Málaga,541596,224104,317492,1815329,565287,1250042
2022M04,41 Sevilla,299106,166182,132923,629722,316411,313310
2022M04,"07 Balears, Illes",627500,111992,515508,2816016,336559,2479457
2022M04,08 Barcelona,954827,297090,657737,2532973,605783,1927190
2022M04,17 Girona,329552,172924,156628,825358,341555,483804
2022M04,46 Valencia/València,304658,187588,117070,718645,405591,313053
2022M04,28 Madrid,951920,555151,396769,2004575,981114,1023461
2022M03,29 Málaga,360805,167811,192994,1153222,403973,749249
2022M03,41 Sevilla,259122,151606,107515,530313,269131,261182
2022M03,"07 Balears, Illes",202457,60834,141624,817111,177559,639551
2022M03,08 Barcelona,738509,258640,479869,1889303,516812,1372491
2022M03,17 Girona,148484,94875,53608,317741,193695,124045
2022M03,46 Valencia/València,246403,158121,88282,524256,300837,223419
2022M03,28 Madrid,848985,525292,323693,1720481,905312,815168
2022M02,29 Málaga,287697,163580,124117,783064,341683,441381
2022M02,41 Sevilla,216198,140464,75734,422782,242311,180470
2022M02,"07 Balears, Illes",92624,42557,50067,310405,107070,203335
2022M02,08 Barcelona,581175,220732,360443,1394900,419550,975350
2022M02,17 Girona,148373,92785,55588,271749,158061,113688
2022M02,46 Valencia/València,201491,134112,67378,393551,230834,162717
2022M02,28 Madrid,721193,484422,236771,1435535,847027,588508
2022M01,29 Málaga,180901,88951,91950,487481,173183,314297
2022M01,41 Sevilla,170167,112980,57187,320109,189848,130261
2022M01,"07 Balears, Illes",42131,20603,21528,127429,44476,82953
2022M01,08 Barcelona,418906,183731,235175,996160,354869,641291
2022M01,17 Girona,111627,81482,30145,204903,148330,56573
2022M01,46 Valencia/València,148043,98146,49897,294104,167843,126261
2022M01,28 Madrid,569467,386597,182870,1193236,699507,493728
2021M12,29 Málaga,235138,142779,92359,592678,290294,302384
2021M12,41 Sevilla,200593,133089,67503,414190,259367,154823
2021M12,"07 Balears, Illes",57392,27267,30125,166256,61093,105163
2021M12,08 Barcelona,538255,233136,305119,1271540,454372,817169
2021M12,17 Girona,145152,105791,39360,261573,190551,71022
2021M12,46 Valencia/València,179192,116542,62649,366266,214668,151598
2021M12,28 Madrid,770392,528498,241894,1595537,981968,613570
2021M11,29 Málaga,280935,137552,143382,821290,283226,538065
2021M11,41 Sevilla,231148,144322,86826,461926,257731,204195
2021M11,"07 Balears, Illes",88317,33690,54627,318433,69464,248969
2021M11,08 Barcelona,590958,214384,376574,1434167,409903,1024264
2021M11,17 Girona,134474,76945,57529,246367,116200,130166
2021M11,46 Valencia/València,205291,124807,80484,444266,237299,206967
2021M11,28 Madrid,822908,528624,294284,1650955,923355,727600
2021M10,29 Málaga,451642,186441,265201,1566862,455470,1111392
2021M10,41 Sevilla,259341,152279,107062,539423,290398,249025
2021M10,"07 Balears, Illes",761539,141008,620531,3957260,355543,3601717
2021M10,08 Barcelona,734005,261136,472869,1856628,535372,1321256
2021M10,17 Girona,293218,151193,142025,666071,252824,413248
2021M10,46 Valencia/València,259740,159452,100288,580688,314150,266537
2021M10,28 Madrid,885784,564761,321023,1848540,1032907,815634
2021M09,29 Málaga,483297,247187,236110,1745042,715417,1029625
2021M09,41 Sevilla,215467,133622,81845,432726,245981,186745
2021M09,"07 Balears, Illes",1004077,181723,822354,5324350,643627,4680723
2021M09,08 Barcelona,624532,227239,397293,1647371,473376,1173995
2021M09,17 Girona,338181,187260,150921,938605,419560,519045
2021M09,46 Valencia/València,265602,171396,94206,652914,402885,250028
2021M09,28 Madrid,709463,452686,256777,1453739,816887,636852
2021M08,29 Málaga,626297,405728,220569,2380124,1409724,970401
2021M08,41 Sevilla,205076,130389,74687,417933,248513,169420
2021M08,"07 Balears, Illes",1176822,281919,894903,6482644,1197578,5285067
2021M08,08 Barcelona,749150,254957,494193,2285746,645294,1640452
2021M08,17 Girona,577762,350951,226811,1910245,1061665,848580
2021M08,46 Valencia/València,328433,218372,110061,886962,579497,307465
2021M08,28 Madrid,557806,363898,193907,1149845,676957,472889
2021M07,29 Málaga,556796,381978,174818,1880157,1197854,682304
2021M07,41 Sevilla,177516,122330,55186,321483,203180,118303
2021M07,"07 Balears, Illes",1055103,217216,837887,5690675,823313,4867361
2021M07,08 Barcelona,594601,256228,338373,1584510,548455,1036055
2021M07,17 Girona,430850,268879,161972,1270486,668729,601757
2021M07,46 Valencia/València,287626,199856,87770,706843,485379,221464
2021M07,28 Madrid,555840,376416,179424,1122796,673159,449637
2021M06,29 Málaga,342013,252019,89994,913141,609732,303409
2021M06,41 Sevilla,155094,113507,41587,288916,201325,87591
2021M06,"07 Balears, Illes",587951,172410,415541,2543130,508570,2034560
2021M06,08 Barcelona,416397,223044,193353,937701,441866,495835
2021M06,17 Girona,294814,214970,79844,625488,419158,206330
2021M06,46 Valencia/València,208702,164909,43793,460812,353686,107126
2021M06,28 Madrid,491089,371203,119886,956244,656321,299923
2021M05,29 Málaga,178362,124090,54272,391705,231529,160176
2021M05,41 Sevilla,117815,93758,24057,201668,150816,50852
2021M05,"07 Balears, Illes",220486,59370,161116,910455,152835,757620
2021M05,08 Barcelona,288961,170728,118233,617998,322225,295773
2021M05,17 Girona,169103,121192,47911,289115,193531,95584
2021M05,46 Valencia/València,146600,119752,26848,266933,207470,59463
2021M05,28 Madrid,413197,316121,97076,810028,561269,248760
2021M04,29 Málaga,79611,54893,24718,158590,90072,68518
2021M04,41 Sevilla,75686,65594,10092,117141,96712,20429
2021M04,"07 Balears, Illes",73347,26370,46977,272911,56071,216840
2021M04,08 Barcelona,183092,121877,61215,404763,246519,158244
2021M04,17 Girona,67238,52793,14445,118235,91696,26539
2021M04,46 Valencia/València,89777,74992,14785,159720,126153,33567
2021M04,28 Madrid,293955,232440,61516,559997,403306,156690
2021M03,29 Málaga,71264,54084,17179,132489,87826,44664
2021M03,41 Sevilla,65969,60181,5788,103832,90713,13119
2021M03,"07 Balears, Illes",31237,15381,15856,92653,33418,59235
2021M03,08 Barcelona,173589,128268,45321,343994,231548,112446
2021M03,17 Girona,67372,54216,13155,107068,84848,22220
2021M03,46 Valencia/València,76967,64460,12506,130625,104122,26502
2021M03,28 Madrid,296799,235502,61297,582225,409239,172986
2021M02,29 Málaga,41999,32358,9641,77630,52451,25179
2021M02,41 Sevilla,50381,46715,3666,80806,71801,9006
2021M02,"07 Balears, Illes",14724,10810,3913,31923,20979,10944
2021M02,08 Barcelona,138992,105398,33594,269680,188427,81253
2021M02,17 Girona,28130,20307,7823,46739,32579,14160
2021M02,46 Valencia/València,50306,42170,8136,88014,69806,18208
2021M02,28 Madrid,240372,196967,43405,464169,341895,122274
2021M01,29 Málaga,46540,35051,11489,88931,58629,30302
2021M01,41 Sevilla,47473,42298,5175,80671,69594,11077
2021M01,"07 Balears, Illes",11383,8309,3074,27607,16193,11414
2021M01,08 Barcelona,118954,86559,32395,251913,174695,77219
2021M01,17 Girona,29191,19655,9536,48099,31937,16162
2021M01,46 Valencia/València,48238,38843,9394,90095,68510,21584
2021M01,28 Madrid,227901,181252,46649,428861,318876,109984
2020M12,29 Málaga,47441,33614,13827,85623,56189,29434
2020M12,41 Sevilla,56059,48476,7583,83886,70679,13208
2020M12,"07 Balears, Illes",18997,12958,6040,44115,26637,17478
2020M12,08 Barcelona,141562,102504,39058,253452,170139,83312
2020M12,17 Girona,37523,25094,12429,60570,41608,18962
2020M12,46 Valencia/València,69133,58247,10886,121076,97680,23396
2020M12,28 Madrid,247515,200945,46570,471444,358265,113179
2020M11,29 Málaga,39436,27867,11569,79548,51433,28116
2020M11,41 Sevilla,45073,39888,5185,76808,65279,11528
2020M11,"07 Balears, Illes",23073,16747,6326,49276,31589,17687
2020M11,08 Barcelona,100420,73902,26517,196787,137785,59002
2020M11,17 Girona,21251,14092,7159,38018,26377,11641
2020M11,46 Valencia/València,69351,56524,12827,134613,98527,36086
2020M11,28 Madrid,205367,167173,38193,406497,304090,102407
2020M10,29 Málaga,111861,78185,33676,245753,151439,94314
2020M10,41 Sevilla,90734,73603,17132,167238,128385,38853
2020M10,"07 Balears, Illes",65438,38554,26885,170840,84054,86786
2020M10,08 Barcelona,150321,97484,52837,304585,182900,121685
2020M10,17 Girona,94514,59494,35020,171331,103386,67945
2020M10,46 Valencia/València,106407,86312,20095,200244,153219,47025
2020M10,28 Madrid,178846,142107,36739,384098,273851,110247
2020M09,29 Málaga,160548,114661,45886,430153,284717,145436
2020M09,41 Sevilla,92286,76559,15728,160812,125264,35548
2020M09,"07 Balears, Illes",162409,103005,59404,585444,329907,255537
2020M09,08 Barcelona,192016,126463,65553,394794,238191,156603
2020M09,17 Girona,234219,178692,55528,486557,360339,126219
2020M09,46 Valencia/València,121322,98927,22395,262717,214262,48455
