periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext
2019M10,29 Málaga,536722,158911,377811,1962760,349271,1613489
2019M10,41 Sevilla,362912,142151,220761,698740,245043,453697
2019M10,"07 Balears, Illes",1014323,119164,895159,5826078,294200,5531878
2019M10,08 Barcelona,1183573,273040,910533,2965398,504947,2460452
2019M10,17 Girona,341230,121294,219936,981407,199624,781783
2019M10,46 Valencia/València,292391,147401,144989,650928,294473,356455
2019M10,28 Madrid,1175876,564969,610908,2360610,943801,1416809
2019M09,29 Málaga,609398,187689,421709,2231850,512241,1719609
2019M09,41 Sevilla,340505,134919,205586,660530,229295,431235
2019M09,"07 Balears, Illes",1570751,167143,1403608,9003638,608876,8394762
2019M09,08 Barcelona,1168716,245882,922834,3336097,476973,2859125
2019M09,17 Girona,453904,170976,282928,1541330,404156,1137174
2019M09,46 Valencia/València,302210,152626,149584,754360,377985,376375
2019M09,28 Madrid,1079479,504841,574638,2271724,896359,1375365
2019M08,29 Málaga,682101,316349,365752,2730223,1095971,1634252
2019M08,41 Sevilla,318436,126336,192100,639241,221385,417856
2019M08,"07 Balears, Illes",1819172,218030,1601142,10848790,969715,9879075
2019M08,08 Barcelona,1284916,254028,1030887,4047723,612036,3435688
2019M08,17 Girona,650747,263556,387191,2433530,788605,1644925
2019M08,46 Valencia/València,349487,182230,167257,985240,534628,450612
2019M08,28 Madrid,985547,470435,515112,2023616,833852,1189764
2019M07,29 Málaga,647994,278502,369492,2501651,857409,1644242
2019M07,41 Sevilla,281611,118676,162935,563374,199980,363394
2019M07,"07 Balears, Illes",1803571,198977,1604594,10532392,776686,9755705
2019M07,08 Barcelona,1328095,297667,1030428,3891104,614897,3276207
2019M07,17 Girona,541440,211371,330070,2128859,551457,1577402
2019M07,46 Valencia/València,349558,192539,157018,919604,521465,398139
2019M07,28 Madrid,1117908,528508,589400,2274448,907375,1367073
2019M06,29 Málaga,613455,219471,393984,2169935,521363,1648572
2019M06,41 Sevilla,314049,133446,180603,622390,233416,388974
2019M06,"07 Balears, Illes",1654313,187072,1467241,9212919,648436,8564483
2019M06,08 Barcelona,1274805,296029,978776,3479875,547755,2932121
2019M06,17 Girona,505766,205411,300355,1630836,443722,1187115
2019M06,46 Valencia/València,349657,202987,146670,816902,472731,344171
2019M06,28 Madrid,1172410,577243,595166,2325474,959259,1366216
2019M05,29 Málaga,589935,184529,405405,1986844,412277,1574567
2019M05,41 Sevilla,353822,151571,202251,705195,272421,432774
2019M05,"07 Balears, Illes",1406588,168744,1237844,7106545,514204,6592341
2019M05,08 Barcelona,1230382,292465,937917,3144447,550640,2593807
2019M05,17 Girona,388585,134497,254088,1115238,296090,819148
2019M05,46 Valencia/València,330238,180784,149454,729567,385288,344279
2019M05,28 Madrid,1172955,568723,604232,2347283,962658,1384625
2019M04,29 Málaga,539316,182074,357242,1792826,482522,1310304
2019M04,41 Sevilla,329946,138957,190989,695397,264754,430644
2019M04,"07 Balears, Illes",658987,112304,546683,3064617,354124,2710493
2019M04,08 Barcelona,1109962,268024,841938,2800106,558410,2241696
2019M04,17 Girona,346980,149990,196990,999704,390824,608879
2019M04,46 Valencia/València,304990,161708,143282,703473,362240,341233
2019M04,28 Madrid,1065508,544970,520538,2192962,949015,1243947
2019M03,29 Málaga,414188,167362,246826,1380072,434823,945249
2019M03,41 Sevilla,315318,155556,159762,638832,275564,363268
2019M03,"07 Balears, Illes",257928,73394,184534,1147223,215128,932094
2019M03,08 Barcelona,961604,274545,687059,2318297,532879,1785418
2019M03,17 Girona,227860,126219,101640,486958,252254,234704
2019M03,46 Valencia/València,288836,171480,117357,641089,360241,280848
2019M03,28 Madrid,1079289,579601,499689,2176778,979040,1197738
2019M02,29 Málaga,313178,144639,168539,954430,306169,648260
2019M02,41 Sevilla,259436,136007,123429,499441,227280,272161
2019M02,"07 Balears, Illes",131555,51587,79968,511031,153099,357932
2019M02,08 Barcelona,814340,246639,567700,1876090,408076,1468013
2019M02,17 Girona,145647,86862,58785,281965,144580,137385
2019M02,46 Valencia/València,226318,130200,96118,447610,228366,219243
2019M02,28 Madrid,922651,528779,393872,1762240,880621,881619
2019M01,29 Málaga,252215,101564,150651,798745,234413,564332
2019M01,41 Sevilla,230824,114308,116517,470128,200381,269748
2019M01,"07 Balears, Illes",59391,26306,33085,183719,54408,129311
2019M01,08 Barcelona,746797,223604,523192,1752316,383272,1369045
2019M01,17 Girona,108542,62597,45945,200078,114808,85270
2019M01,46 Valencia/València,198202,106393,91809,402521,190345,212176
2019M01,28 Madrid,873095,504310,368785,1769846,881136,888710
2018M12,29 Málaga,261792,123124,138668,776963,285943,491020
2018M12,41 Sevilla,252628,129038,123590,513589,236100,277490
2018M12,"07 Balears, Illes",91726,30396,61330,287577,64474,223103
2018M12,08 Barcelona,779906,252354,527551,1801094,449825,1351269
2018M12,17 Girona,134359,89725,44634,253879,167038,86842
2018M12,46 Valencia/València,212043,124990,87052,435741,235288,200453
2018M12,28 Madrid,992497,598334,394163,1997390,1069109,928281
2018M11,29 Málaga,291418,119888,171529,967359,257982,709377
2018M11,41 Sevilla,286219,147208,139011,567401,264376,303025
2018M11,"07 Balears, Illes",103611,45450,58161,384119,129162,254957
2018M11,08 Barcelona,868492,251166,617326,1979592,430984,1548608
2018M11,17 Girona,139911,80166,59745,302745,151810,150935
2018M11,46 Valencia/València,246998,133540,113458,520419,255412,265007
2018M11,28 Madrid,1047946,581438,466508,2076793,1002877,1073916
2018M10,29 Málaga,510488,146921,363567,1901829,350723,1551106
2018M10,41 Sevilla,340024,143828,196196,678674,264454,414220
2018M10,"07 Balears, Illes",1024217,142964,881253,6074821,424553,5650268
2018M10,08 Barcelona,1133840,279446,854395,2886975,512862,2374113
2018M10,17 Girona,343354,126091,217264,1013013,242364,770649
2018M10,46 Valencia/València,285536,147256,138280,628753,296649,332104
2018M10,28 Madrid,1162482,559826,602656,2291026,943710,1347316
2018M09,29 Málaga,570254,158873,411381,2163227,422828,1740399
2018M09,41 Sevilla,313138,118627,194511,634734,215063,419671
2018M09,"07 Balears, Illes",1562900,151240,1411660,9151847,561130,8590717
2018M09,08 Barcelona,1165130,267880,897249,3285617,489842,2795775
2018M09,17 Girona,476089,183844,292245,1594322,414985,1179337
2018M09,46 Valencia/València,306912,166285,140627,765325,409330,355995
2018M09,28 Madrid,1115273,554765,560508,2189183,935194,1253989
2018M08,29 Málaga,633747,284784,348963,2613242,1006369,1606874
2018M08,41 Sevilla,299932,115225,184707,584797,204329,380468
2018M08,"07 Balears, Illes",1704023,188843,1515180,10822370,865200,9957170
2018M08,08 Barcelona,1233114,258625,974489,3884234,619153,3265081
2018M08,17 Girona,602949,269553,333396,2353056,827076,1525980
2018M08,46 Valencia/València,347479,190038,157440,965252,546735,418517
2018M08,28 Madrid,957909,481301,476607,1925198,854666,1070532
2018M07,29 Málaga,604564,238218,366346,2434957,756131,1678826
2018M07,41 Sevilla,277315,113274,164041,535405,193739,341666
2018M07,"07 Balears, Illes",1760514,176438,1584076,10737783,749173,9988610
2018M07,08 Barcelona,1276405,304812,971593,3731837,630143,3101694
2018M07,17 Girona,535175,212065,323110,2054023,525316,1528707
2018M07,46 Valencia/València,330578,183869,146709,885966,507312,378654
2018M07,28 Madrid,1087738,516910,570828,2113266,861847,1251419
2018M06,29 Málaga,583174,191045,392129,2143372,450927,1692444
2018M06,41 Sevilla,319482,136459,183022,601158,224179,376978
2018M06,"07 Balears, Illes",1645012,172865,1472147,9338251,620301,8717950
2018M06,08 Barcelona,1227638,305445,922193,3285923,561250,2724673
2018M06,17 Girona,474327,189588,284740,1444913,363336,1081578
2018M06,46 Valencia/València,325626,191110,134516,752541,431857,320684
2018M06,28 Madrid,1128276,575242,553034,2188747,963585,1225162
2018M05,29 Málaga,560577,157499,403078,1976864,355660,1621204
2018M05,41 Sevilla,331862,139364,192498,654278,243081,411197
2018M05,"07 Balears, Illes",1393844,159954,1233891,7439429,544398,6895031
2018M05,08 Barcelona,1184359,281616,902743,3138502,558243,2580259
2018M05,17 Girona,404463,153373,251090,1177827,356994,820832
2018M05,46 Valencia/València,298195,162052,136143,666494,330598,335896
2018M05,28 Madrid,1101406,562675,538731,2188981,939310,1249670
2018M04,29 Málaga,507835,164400,343435,1717154,423034,1294120
2018M04,41 Sevilla,320263,140144,180120,638320,258936,379384
2018M04,"07 Balears, Illes",554074,94236,459838,2834734,372892,2461842
2018M04,08 Barcelona,1033594,279387,754207,2562124,570182,1991942
2018M04,17 Girona,312658,133797,178862,870870,319586,551284
2018M04,46 Valencia/València,293522,164020,129502,679056,361983,317074
2018M04,28 Madrid,1041419,520285,521134,2082360,876416,1205943
2018M03,29 Málaga,406317,170075,236241,1419426,432625,986801
2018M03,41 Sevilla,277166,136839,140326,557879,253424,304455
2018M03,"07 Balears, Illes",269771,89468,180302,1290879,331686,959193
2018M03,08 Barcelona,922330,271688,650642,2186758,508266,1678492
2018M03,17 Girona,258312,145530,112782,610990,303199,307791
2018M03,46 Valencia/València,283915,172764,111151,629345,369352,259993
2018M03,28 Madrid,1030103,564073,466030,2003045,955408,1047637
2018M02,29 Málaga,290259,131998,158261,929302,279108,650194
2018M02,41 Sevilla,245786,126248,119538,461219,216248,244971
2018M02,"07 Balears, Illes",147818,64600,83217,588429,194180,394248
2018M02,08 Barcelona,755389,237784,517605,1732268,392529,1339739
2018M02,17 Girona,130698,81907,48791,260932,148637,112295
2018M02,46 Valencia/València,220329,127512,92817,459260,234780,224480
2018M02,28 Madrid,906604,530705,375898,1730383,891220,839162
2018M01,29 Málaga,242989,98656,144332,787257,222341,564916
2018M01,41 Sevilla,222017,110493,111525,428328,190027,238301
2018M01,"07 Balears, Illes",65301,27144,38157,223454,64477,158976
2018M01,08 Barcelona,699330,227550,471780,1614169,396027,1218142
2018M01,17 Girona,113123,64875,48248,202556,114872,87683
2018M01,46 Valencia/València,174867,91056,83811,353556,165283,188273
2018M01,28 Madrid,864607,514887,349721,1747430,896539,850891
2017M12,29 Málaga,268346,132491,135854,778632,304007,474625
2017M12,41 Sevilla,238708,136418,102290,476507,265052,211455
2017M12,"07 Balears, Illes",70151,33277,36874,238590,91163,147427
2017M12,08 Barcelona,696256,254121,442135,1533177,436820,1096358
2017M12,17 Girona,126352,86266,40087,237483,160710,76773
2017M12,46 Valencia/València,187851,116578,71273,379047,223360,155688
2017M12,28 Madrid,964076,602508,361568,1940509,1064621,875888
2017M11,29 Málaga,291393,122339,169054,969598,266323,703276
2017M11,41 Sevilla,263472,134054,129417,511635,236866,274769
2017M11,"07 Balears, Illes",116628,46724,69905,448812,156305,292508
2017M11,08 Barcelona,761807,260061,501747,1710988,454147,1256841
2017M11,17 Girona,121522,69412,52110,263592,130107,133486
2017M11,46 Valencia/València,228563,132318,96245,481369,247793,233576
2017M11,28 Madrid,971224,541722,429502,1938635,932832,1005803
2017M10,29 Málaga,529461,158966,370495,1994345,368102,1626243
2017M10,41 Sevilla,326630,128858,197772,638114,237270,400845
2017M10,"07 Balears, Illes",1007285,134237,873049,6168244,410747,5757497
2017M10,08 Barcelona,1051127,290202,760925,2732889,574848,2158040
2017M10,17 Girona,301836,114987,186849,915311,236921,678390
2017M10,46 Valencia/València,271107,143188,127920,589564,288632,300931
2017M10,28 Madrid,1100288,532131,568157,2184448,919497,1264950
2017M09,29 Málaga,576893,164335,412558,2213173,428440,1784732
2017M09,41 Sevilla,305515,116989,188525,590913,201224,389689
2017M09,"07 Balears, Illes",1553939,151182,1402757,9242703,616259,8626444
2017M09,08 Barcelona,1160933,284372,876561,3293441,560773,2732668
2017M09,17 Girona,440049,165839,274211,1566209,406305,1159904
2017M09,46 Valencia/València,289970,157052,132918,741398,396734,344664
2017M09,28 Madrid,1071837,518868,552969,2125666,872362,1253304
2017M08,29 Málaga,615915,247717,368198,2606782,837983,1768799
2017M08,41 Sevilla,291910,106002,185908,571794,192129,379665
2017M08,"07 Balears, Illes",1732706,201011,1531695,10839522,911072,9928450
2017M08,08 Barcelona,1208097,264482,943615,3962711,687283,3275427
2017M08,17 Girona,571528,242893,328635,2375783,790547,1585236
2017M08,46 Valencia/València,340646,192748,147898,936020,547496,388524
2017M08,28 Madrid,956166,478174,477992,1966960,842081,1124879
2017M07,29 Málaga,600442,232613,367828,2476361,707649,1768712
2017M07,41 Sevilla,261291,106433,154858,502479,198184,304295
2017M07,"07 Balears, Illes",1781881,190036,1591845,10677426,805712,9871714
2017M07,08 Barcelona,1323082,331122,991960,3938045,701386,3236659
2017M07,17 Girona,542420,205349,337071,2170571,575254,1595317
2017M07,46 Valencia/València,332273,194681,137592,881417,521420,359997
2017M07,28 Madrid,1041379,511157,530222,2073274,846413,1226861
2017M06,29 Málaga,572988,186214,386774,2162259,429937,1732322
2017M06,41 Sevilla,317037,135232,181806,563611,216386,347225
2017M06,"07 Balears, Illes",1563138,178385,1384753,9420349,702774,8717575
2017M06,08 Barcelona,1208727,316551,892176,3408451,639503,2768948
2017M06,17 Girona,463417,198063,265354,1558770,414844,1143926
2017M06,46 Valencia/València,299797,178121,121676,710858,421397,289461
2017M06,28 Madrid,1072991,536784,536206,2162892,898539,1264354
2017M05,29 Málaga,553665,156748,396917,1954812,356038,1598774
2017M05,41 Sevilla,324284,127760,196524,631275,240076,391199
2017M05,"07 Balears, Illes",1333964,143630,1190334,7422865,497317,6925548
2017M05,08 Barcelona,1181228,293849,887380,3113934,592240,2521694
2017M05,17 Girona,361997,139153,222844,1060764,319609,741155
2017M05,46 Valencia/València,282687,159837,122851,615254,327894,287359
2017M05,28 Madrid,1102462,553773,548690,2168316,920437,1247879
2017M04,29 Málaga,534549,191239,343311,1847771,516751,1331019
2017M04,41 Sevilla,313277,133406,179871,636366,263964,372402
2017M04,"07 Balears, Illes",571312,107073,464239,2954104,409113,2544992
2017M04,08 Barcelona,1098098,305778,792320,2836675,664668,2172007
2017M04,17 Girona,369211,160376,208835,1052044,409758,642286
2017M04,46 Valencia/València,276139,168033,108105,653645,383251,270394
2017M04,28 Madrid,1067032,536729,530303,2165634,943240,1222393
2017M03,29 Málaga,362153,136572,225581,1281601,362027,919573
2017M03,41 Sevilla,275613,137742,137871,521947,242820,279127
2017M03,"07 Balears, Illes",248405,81237,167168,1215890,342116,873775
2017M03,08 Barcelona,934431,296450,637981,2296420,601531,1694890
2017M03,17 Girona,210208,111232,98976,451406,215531,235875
2017M03,46 Valencia/València,244898,154701,90197,537533,322875,214658
2017M03,28 Madrid,983876,527856,456020,1894658,882747,1011910
2017M02,29 Málaga,281267,122933,158333,919408,277793,641615
2017M02,41 Sevilla,232531,123524,109007,424395,208505,215891
2017M02,"07 Balears, Illes",129922,54662,75260,522678,167520,355159
2017M02,08 Barcelona,749671,244330,505341,1755346,433692,1321654
2017M02,17 Girona,126731,76325,50406,245987,129765,116222
2017M02,46 Valencia/València,196501,119494,77007,385182,207130,178052
2017M02,28 Madrid,887678,512811,374867,1692260,862468,829793
2017M01,29 Málaga,223154,90312,132842,737402,198720,538682
2017M01,41 Sevilla,217888,108185,109702,396212,182936,213277
2017M01,"07 Balears, Illes",55727,23268,32458,224756,55492,169263
2017M01,08 Barcelona,692906,229810,463096,1615020,415025,1199995
2017M01,17 Girona,99604,61070,38534,181407,111341,70066
2017M01,46 Valencia/València,155411,92346,63065,301443,161548,139895
2017M01,28 Madrid,847583,485984,361600,1691367,856283,835084
