periodos,zona,viajeros_nacional,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla,pernoc_total_nacional,pernoc_andalucia,pernoc_aragon,pernoc_asturias,pernoc_balears,pernoc_canarias,pernoc_cantabria,pernoc_castilla_leon,pernoc_castilla_mancha,pernoc_cataluña,pernoc_valencia,pernoc_extremadura,pernoc_galicia,pernoc_madrid,pernoc_murcia,pernoc_navarra,pernoc_paisvasco,pernoc_rioja,pernoc_ceuta,pernoc_melilla
2024M03,17 Girona,100,1.87,0.84,0.31,1.3,1.14,0.2,0.5,0.6,79.52,3.34,0.13,1.03,6.12,0.72,0.23,1.93,0.16,0.05,0.01,100,3.28,0.91,0.33,1.51,2.41,0.4,0.57,0.73,70.77,6.4,0.16,1.53,6.83,1.12,0.24,2.58,0.17,0.04,0.01
2024M03,46 Valencia/València,100,10.82,2.78,0.72,2.6,0.7,0.44,3.07,4.85,14.24,21.05,0.82,1.71,28.71,3.21,0.83,2.65,0.46,0.29,0.06,100,9.93,2.92,0.92,2.87,0.9,0.5,3.67,5.42,14.23,18.47,0.82,2.42,28.04,4.18,0.86,2.96,0.44,0.42,0.05
2024M03,28 Madrid,100,12.71,2.35,2.55,2.26,3.34,1.85,4.44,3.32,14.58,9.02,2.41,5.31,25.35,2.65,1.49,4.57,0.76,0.4,0.64,100,13.48,2.19,2.5,2.34,4.1,1.92,4.14,3.07,14.54,9,2.2,5.72,24.48,2.38,1.46,4.59,0.69,0.43,0.77
2024M02,29 Málaga,100,52.74,1.03,0.7,1.93,1.43,0.43,1.72,2.46,7.25,3.6,1.29,1.99,16.01,1.26,0.67,2.95,0.21,1.23,1.1,100,45.46,2.5,1.3,2.84,1.82,0.52,2.49,2.71,8.04,4.22,1.78,2.73,15.71,1.36,0.74,3.73,0.22,1.07,0.76
2024M02,41 Sevilla,100,43.24,1.21,1.16,1.36,2.56,1.19,2.81,3.28,8.31,5.22,3.79,2.33,17.85,1.82,0.67,1.97,0.59,0.59,0.06,100,38.29,1.38,1.42,1.49,3.25,1.34,2.99,3.23,9.09,5.81,3.18,3.19,18.83,2.01,0.81,2.35,0.71,0.56,0.06
2024M02,"07 Balears, Illes",100,8.38,2.52,1.91,36.96,0.61,0.43,4.86,0.97,12.33,6.79,0.52,3.72,14.29,0.77,1.01,3.63,0.09,0.18,0.04,100,11.39,2.65,4.77,22.43,3.85,0.86,6.88,2.61,11.8,6.21,0.45,4.13,15.28,0.62,1.43,4.48,0.05,0.07,0.02
2024M02,08 Barcelona,100,6.15,2.53,0.81,2.38,1.64,0.73,1.61,1.88,42.92,6.24,0.67,2.48,22.85,0.88,1.42,3.82,0.55,0.34,0.1,100,7.7,2.37,1.12,2.28,1.58,0.75,1.64,1.84,43.56,5.78,0.76,2.49,21.66,0.83,1.25,3.51,0.52,0.31,0.07
2024M02,17 Girona,100,1.76,0.93,0.27,1.13,0.44,0.12,0.62,0.44,82.79,3.41,0.19,0.54,4.97,0.77,0.21,1,0.37,0.05,0,100,1.82,1.16,0.22,1.38,0.62,0.15,0.67,0.51,75.6,5.51,0.23,0.85,8.77,1,0.21,0.97,0.28,0.05,0
2024M02,46 Valencia/València,100,11.88,2.41,1.1,2.01,1.43,0.57,2.18,3.84,12.46,25.91,0.76,2.12,26.34,3.77,0.67,1.72,0.36,0.46,0.02,100,11.54,2.74,1.22,2.19,1.81,0.64,2.57,4.01,12.86,22.24,0.83,2.86,27.07,3.45,0.73,2.04,0.4,0.79,0.01
2024M02,28 Madrid,100,15.45,2.22,2.3,2.16,4.01,1.82,4.58,3.88,15.09,8.43,2.55,4.32,22.52,2.8,1.44,4.23,1.02,1.05,0.13,100,16.48,2.21,2.34,2.26,4.7,2,4.18,3.34,14.83,8.34,2.43,4.53,21.88,2.57,1.46,4.45,0.87,1,0.13
2024M01,29 Málaga,100,47.14,0.8,0.66,3.75,1.53,0.53,1.64,2.05,7.96,3.72,0.98,1.9,18.84,1.24,1.12,2.62,0.21,1.5,1.81,100,40.69,1.05,0.72,8.3,2.17,0.59,2.08,2.26,7.89,4.14,0.91,1.99,18.49,1.17,1.24,3.26,0.2,1.37,1.47
2024M01,41 Sevilla,100,44.58,1.51,0.85,1.33,2.74,1.17,2.99,3.1,7.51,4.98,4.64,1.92,16.89,2.05,0.49,2.14,0.38,0.58,0.14,100,39.53,1.97,1.13,1.57,2.84,1.36,3.43,3.48,8.26,5.35,3.86,2.74,18.28,2.2,0.63,2.19,0.49,0.57,0.13
2024M01,"07 Balears, Illes",100,6.33,0.7,1.64,38.59,1.8,0.51,0.79,1.03,19.01,6.76,0.63,1.52,16.85,0.94,0.66,1.5,0.33,0.37,0.03,100,6.61,0.76,1.82,37.2,2.51,0.45,0.79,0.93,21.25,6.3,0.73,2.13,14.57,0.98,0.81,1.21,0.28,0.62,0.04
2024M01,08 Barcelona,100,6.68,2.78,0.95,2.28,1.66,0.43,1.76,1.41,44.3,6.18,0.67,2.31,23.15,0.79,0.99,3.21,0.34,0.09,0.02,100,7.7,2.51,1.32,2.33,1.74,0.65,1.68,1.34,45.12,5.39,0.75,2.64,20.94,0.87,1.07,3.45,0.36,0.1,0.03
2024M01,17 Girona,100,1.72,0.97,0.42,0.84,0.22,0.37,0.6,0.53,81.64,3.85,0.12,0.61,5.55,0.89,0.25,0.73,0.68,0.02,0,100,1.8,1.37,0.54,1.83,0.25,0.58,0.67,0.63,75.94,5.42,0.24,0.92,6.04,1.79,0.46,0.91,0.61,0.01,0
2024M01,46 Valencia/València,100,11.54,2.54,0.64,2.58,0.77,0.36,2.37,4.05,12.53,25.91,0.74,2.12,25.7,4.14,0.77,2.05,0.28,0.83,0.07,100,12.27,2.35,0.71,2.39,0.95,0.45,2.64,3.79,11.66,22.11,0.81,2.71,26.97,4.34,0.87,2.61,0.31,1.97,0.07
2024M01,28 Madrid,100,12.91,2.49,2.3,2.39,3.3,1.63,5.08,3.52,14.43,9.39,2.9,4.17,25.46,2.73,1.51,4.3,1.07,0.18,0.24,100,14,2.19,2.32,2.49,3.88,1.68,4.66,3.21,14.44,9.33,2.6,4.34,24.53,2.94,1.6,4.43,0.89,0.23,0.23
2023M12,29 Málaga,100,51.73,1.01,0.65,2.42,0.86,0.45,1.57,2.94,6.83,4.31,1.32,1.7,17.41,1.83,0.49,2.02,0.25,1.03,1.18,100,46.27,1.89,0.84,2.7,0.89,0.6,1.91,3.07,7.94,4.47,1.23,1.8,19.33,1.61,0.61,2.54,0.37,0.91,1.01
2023M12,41 Sevilla,100,45.35,1.5,0.88,1.64,2.03,0.94,3.25,3.32,6.79,4.66,4.68,1.75,17.74,1.62,0.7,1.83,0.49,0.64,0.19,100,39.18,2.02,1,1.8,2.7,0.99,3.68,3.41,7.91,5.81,3.82,2.16,19.33,1.61,0.9,2.35,0.56,0.63,0.14
2023M12,"07 Balears, Illes",100,4.23,0.6,0.6,48.79,0.89,0.25,0.53,1.62,14.85,7,0.36,1.23,15.61,0.88,0.17,1.7,0.12,0.53,0.05,100,4.7,0.59,0.79,46.87,1.09,0.44,0.69,1.76,15.78,6.41,0.47,1.42,14.95,0.99,0.15,2.42,0.11,0.34,0.03
2023M12,08 Barcelona,100,7.11,2.43,0.64,2.63,1.79,0.63,1.55,1.3,44.09,6.52,1,2.03,22.07,0.77,1.1,3.46,0.37,0.3,0.23,100,8.21,2.18,0.67,2.65,1.68,0.68,1.79,1.32,43.95,6.26,1.01,2.2,20.88,1.01,1.19,3.47,0.39,0.26,0.21
2023M12,17 Girona,100,1.99,0.65,0.15,0.69,0.3,0.11,0.35,0.33,85.37,3.21,0.08,0.57,4.61,0.17,0.18,1.14,0.05,0.04,0,100,4.26,0.78,0.17,0.96,0.79,0.14,0.6,0.4,78.61,3.81,0.17,0.85,5.96,0.2,0.23,1.95,0.07,0.05,0
2023M12,46 Valencia/València,100,11.27,2.21,0.72,3.06,0.94,0.56,2.4,2.96,14.39,26.62,0.92,1.48,25.68,3.17,0.84,2.19,0.34,0.21,0.02,100,10.54,2.4,0.96,3.11,1.31,0.56,2.88,2.92,14.29,23.25,0.94,1.99,27.3,2.8,1.08,3.02,0.37,0.23,0.03
2023M12,28 Madrid,100,13.48,2.33,2.73,2.2,3.13,1.66,5.1,4.19,13.46,9.95,2.51,4.44,24.62,2.7,1.56,4.58,0.84,0.24,0.28,100,14.9,2.26,2.9,2.41,4.09,1.77,4.35,3.49,12.97,9.69,2.48,4.61,23.88,2.57,1.63,4.69,0.8,0.25,0.25
2023M11,29 Málaga,100,51.16,0.98,0.55,1.36,1.03,0.64,1.79,3.24,6.28,4.11,1.62,1.58,19.03,1.63,0.58,1.96,0.22,0.86,1.39,100,52,1.14,0.63,1.46,1.21,0.76,2.58,3.18,5.61,3.46,1.72,1.54,18.4,1.3,0.65,2.41,0.23,0.62,1.09
2023M11,41 Sevilla,100,43.23,1.11,0.91,1.49,2.42,0.82,2.98,2.63,9.05,4.91,3.49,1.99,19.78,1.48,0.81,1.87,0.41,0.47,0.17,100,39.2,1.22,1.24,1.71,2.9,1.08,3.4,2.8,9.4,5.19,3.13,2.26,20.62,1.27,0.99,2.43,0.55,0.46,0.14
2023M11,"07 Balears, Illes",100,5.7,0.58,2.72,40.17,0.69,0.43,0.9,0.91,17.34,6.73,0.44,1.29,18.63,1.38,0.41,1.07,0.1,0.5,0.02,100,5.98,0.72,2.77,36.55,0.95,0.54,1.23,1.21,18.56,6.92,0.46,1.78,18.33,1.76,0.4,1.3,0.24,0.28,0.01
2023M11,08 Barcelona,100,6.87,2.32,0.94,2.59,1.58,0.69,1.76,1.7,42.27,6.35,0.6,2.39,22.6,0.99,1.12,3.99,0.48,0.52,0.24,100,7.5,2.13,1.03,2.36,1.69,0.71,1.77,1.84,42.46,5.99,0.72,2.85,21.7,1.14,1.18,3.75,0.49,0.47,0.23
2023M11,17 Girona,100,3.02,0.66,0.33,0.88,0.37,0.2,1.27,0.97,77.28,3.54,0.24,0.67,7.93,0.87,0.3,1.31,0.12,0.03,0,100,4.96,0.76,0.34,1.2,0.67,0.45,2.2,1.36,69.47,3.35,0.26,1.41,9.88,0.86,0.3,2.3,0.16,0.07,0
2023M11,46 Valencia/València,100,12.42,2.44,0.96,2.46,1.18,0.71,2.27,4.36,13.41,24.86,0.69,2.12,24.87,3.83,0.74,1.79,0.39,0.48,0.01,100,12.88,2.12,1.12,2.48,1.5,0.79,2.58,5.17,12.79,23.77,0.71,2.67,23.51,3.38,0.73,1.98,0.44,1.34,0.03
2023M11,28 Madrid,100,14.09,2.46,2.65,2.6,3.47,1.93,4.47,3.27,14.66,9.27,2.23,4.52,23.52,2.58,1.41,4.75,1.21,0.25,0.66,100,15.04,2.29,2.56,2.73,4.07,2.01,4.03,3.06,13.89,8.78,2.03,4.67,23.77,2.63,1.29,4.89,1.09,0.32,0.84
2023M10,29 Málaga,100,55.65,0.63,0.76,1.07,1.31,0.73,2.46,2.47,5.3,3.53,1.45,2.07,16.56,1.45,0.45,2.1,0.24,0.82,0.94,100,55.19,0.92,1.1,1.07,1.28,0.82,3.43,2.18,4.96,3.09,1.59,2.29,16.39,1.13,0.44,2.52,0.29,0.57,0.74
2023M10,41 Sevilla,100,44.61,0.98,1.08,1.4,1.86,1.36,3.24,2.62,8.25,4.33,2.98,1.84,19.04,1.9,0.96,2.14,0.57,0.68,0.16,100,39.6,1.24,1.26,1.27,2.25,1.57,3.77,2.7,8.93,5.5,2.68,2.42,19.37,1.93,1.17,2.48,1.1,0.61,0.16
2023M10,"07 Balears, Illes",100,6.34,1,0.66,42.28,0.93,0.61,2,1.87,13.11,6,0.82,1.76,17.87,1.19,0.3,2.58,0.16,0.1,0.45,100,5.4,0.91,0.78,42.96,0.84,0.62,1.97,1.63,11.23,5.13,0.94,1.88,20.96,0.92,0.33,2.81,0.18,0.07,0.43
2023M10,08 Barcelona,100,7.3,1.9,0.79,2.59,1.47,0.51,1.4,1.48,47.89,5.61,0.57,1.98,20.09,0.82,1.13,3.57,0.38,0.51,0.04,100,7.74,1.76,0.74,2.23,1.39,0.48,1.58,1.5,49.06,5.34,0.53,2.12,18.9,0.91,1.13,3.74,0.39,0.44,0.03
2023M10,17 Girona,100,2.82,0.96,0.18,0.37,0.18,0.43,0.64,0.95,81.35,2.73,0.18,1.46,4.91,0.6,0.25,1.86,0.11,0.03,0,100,4.79,1.38,0.23,0.32,0.22,0.82,0.64,3.24,73.22,3.61,0.26,1.84,5.66,0.87,0.34,2.4,0.13,0.03,0
2023M10,46 Valencia/València,100,12.11,1.85,1.31,1.76,1.02,0.59,3.09,4.44,12.23,23.11,0.94,2.11,27.79,3.12,0.83,2.43,0.44,0.79,0.04,100,10.63,1.81,2.08,1.68,1.07,0.64,4.2,4.9,11.43,20.7,0.96,3.3,27.37,2.88,1.13,2.93,0.45,1.8,0.03
2023M10,28 Madrid,100,14.31,2.26,2.73,2.55,3.11,1.72,4.46,3.26,13.98,9.49,2.39,4.46,24.1,2.68,1.56,4.82,0.88,1.05,0.19,100,14.81,2.08,2.78,2.5,3.49,1.91,3.71,3,13.28,8.99,2.18,4.78,25.63,2.51,1.47,4.67,0.81,1.22,0.17
2023M09,29 Málaga,100,54.78,0.68,1.07,0.89,0.94,0.6,2.33,2.4,4.88,3.41,3.38,1.54,16.34,1.69,0.5,2.8,0.31,0.85,0.63,100,50.83,0.82,1.54,0.77,0.83,0.87,3.42,2.52,4.48,2.73,4.86,1.6,16.88,1.66,0.7,4.05,0.26,0.66,0.5
2023M09,41 Sevilla,100,47.64,1.17,1.21,1.17,2.05,0.95,2.83,2.48,8.48,3.5,4.47,1.78,17.08,1.43,0.86,1.75,0.53,0.52,0.11,100,42.42,1.41,1.43,1.21,2.67,1.27,3.07,2.68,9.09,4.04,4.06,2.02,18.85,1.43,1.07,2.02,0.64,0.53,0.09
2023M09,"07 Balears, Illes",100,8.51,1.39,1.91,28.71,1.31,1.15,2.32,1.44,17,6.79,1.37,2.13,19.1,1.62,0.79,3.32,0.41,0.25,0.5,100,7.89,1.5,2.1,30.68,1.15,1.2,2.51,1.37,15.46,5.83,1.31,2.24,19.47,1.61,0.87,3.83,0.49,0.17,0.31
2023M09,08 Barcelona,100,6.02,2.47,0.6,2.43,1.59,0.51,1.8,1.53,47.05,5.49,0.73,2.07,21.18,0.77,1.12,4.02,0.43,0.11,0.05,100,6.26,2.09,0.62,2,1.73,0.48,1.97,1.59,49.18,4.97,0.7,2.01,19.9,0.87,1.23,3.9,0.36,0.1,0.04
2023M09,17 Girona,100,2.41,1.31,0.26,0.44,0.32,0.28,0.93,0.39,80.77,2.18,0.37,0.97,4.93,0.96,0.45,2.83,0.17,0.02,0.01,100,3.03,1.85,0.36,0.34,0.47,0.46,1.32,1.11,74.83,2.24,0.47,1.27,5.69,2.13,0.81,3.31,0.28,0.02,0.01
2023M09,46 Valencia/València,100,12.32,2.4,0.84,1.63,0.97,0.68,4.31,5.83,11.07,21.16,1.27,1.69,27.66,4.33,0.86,2.36,0.47,0.14,0.02,100,9.94,2.31,1.02,1.28,0.92,0.72,7.61,7.6,8.25,17.18,1.45,2.51,31.42,3.19,1.24,2.6,0.62,0.12,0.03
2023M09,28 Madrid,100,13.87,2.28,2.67,1.95,2.9,1.86,4.98,3.24,14.32,7.99,2.62,4.79,25.94,2.36,1.5,4.67,1.01,0.37,0.69,100,14.58,2.31,2.74,2.06,3.55,1.91,4.44,2.86,14.46,7.59,2.4,5.01,25.56,2.31,1.46,4.62,1,0.37,0.77
2023M08,29 Málaga,100,52.06,1.29,0.78,0.63,0.81,0.51,2.13,3.34,4.67,3.39,3.65,1.65,18.58,2.03,0.46,2.47,0.38,0.64,0.52,100,45.49,1.75,1.22,0.56,0.64,0.47,3.12,4.13,4.71,3.12,4.41,1.77,21.67,1.75,0.59,3.34,0.38,0.51,0.37
2023M08,41 Sevilla,100,51.15,1,1.3,0.88,1.32,0.74,2.76,1.95,9.02,3.88,3.59,1.76,14.49,1.73,0.62,2.68,0.46,0.37,0.29,100,47.14,1.18,1.4,0.9,1.83,0.77,2.7,2.11,11.09,4.17,3.06,1.95,15.48,1.59,0.61,2.81,0.65,0.34,0.21
2023M08,"07 Balears, Illes",100,8.5,1.35,1.75,21.82,1.2,0.96,2.01,1.18,21.66,7.6,0.92,3.16,19.08,1.36,1.02,5.4,0.51,0.34,0.17,100,8.26,1.44,1.88,21.56,1.2,1,2.01,1.23,21.2,6.69,0.77,2.92,20.82,1.22,0.95,5.96,0.49,0.27,0.12
2023M08,08 Barcelona,100,6.58,2.28,0.56,1.34,1.45,0.5,1.4,1.63,51.86,4.53,0.63,1.81,18.78,0.67,1.26,4.27,0.26,0.16,0.03,100,6.65,2.27,0.6,0.95,1.21,0.45,1.58,1.54,54.28,3.95,0.61,1.83,17.15,0.51,1.76,4.13,0.33,0.19,0.01
2023M08,17 Girona,100,1.64,1.69,0.37,0.37,0.31,0.24,1.06,0.66,78.39,2.97,0.26,0.96,5.19,0.84,0.84,3.86,0.28,0.06,0.01,100,1.48,2.24,0.45,0.21,0.3,0.33,1.62,0.71,73.75,2.81,0.27,1.28,6.36,1.32,1.19,5.2,0.42,0.05,0.01
2023M08,46 Valencia/València,100,13.53,3.19,0.57,1.23,0.7,0.46,3.62,7.07,10.22,16.49,0.85,1.43,32.69,2.46,0.71,2.99,0.44,1.27,0.08,100,8.99,3.41,0.59,0.89,0.62,0.45,5.2,8.47,6.94,13.44,1.05,1.72,38.9,1.91,0.74,3.7,0.54,2.38,0.07
2023M08,28 Madrid,100,13.15,2.41,2.58,1.66,2.32,1.73,4.06,3.12,13.61,8.72,2.27,4.36,28.56,2.95,1.28,5.43,0.7,0.19,0.9,100,13.83,2.33,2.5,1.74,2.63,1.73,3.48,2.8,14.97,8.32,2.09,4.45,28.03,2.68,1.44,5.37,0.69,0.18,0.72
2023M07,29 Málaga,100,56.82,0.78,0.81,0.82,0.78,0.65,2.45,3.15,3.59,2.71,3.43,1.67,16.18,1.27,0.52,2.13,0.31,0.92,1.01,100,52.63,0.89,1.39,0.68,0.68,0.73,3.61,3.74,3.17,2.33,4.45,1.76,18.22,0.91,0.73,2.33,0.29,0.73,0.71
2023M07,41 Sevilla,100,50.79,0.98,1.32,1.15,2.52,0.96,3.19,2.21,5.79,3.15,4.59,1.89,16.06,1.3,0.63,2.37,0.43,0.53,0.16,100,47.46,1.13,1.44,1.25,2.94,1.04,3.37,2.18,6.78,3.63,3.93,1.98,16.97,1.52,0.63,2.6,0.44,0.51,0.17
2023M07,"07 Balears, Illes",100,9.82,1.3,1.85,28.73,1.14,0.81,1.77,1.52,15.98,7.43,1.12,2.37,18.04,1.4,0.94,4.75,0.57,0.24,0.23,100,8.99,1.47,2.25,32.83,1.16,0.86,2.27,1.47,13.81,6.12,1.25,2.27,16.8,1.21,1.27,5.01,0.57,0.17,0.25
2023M07,08 Barcelona,100,6.5,2.6,0.75,2.01,1.51,0.45,1.9,1.64,49.67,4.71,0.7,1.89,18.14,0.86,1.22,4.33,0.35,0.6,0.18,100,7.28,2.39,0.68,1.95,1.4,0.47,1.81,1.86,50.94,4.42,0.58,2.26,16.49,0.83,1.28,4.38,0.38,0.46,0.14
2023M07,17 Girona,100,3.01,1.67,0.49,0.24,0.36,0.61,1.37,0.76,76.66,2.54,0.21,1.14,5.93,0.51,1.17,3.1,0.19,0.05,0.01,100,3.66,2.07,0.65,0.17,0.41,0.83,2.11,1.03,70.51,2.54,0.34,1.48,7.11,0.46,1.95,4.23,0.33,0.1,0
2023M07,46 Valencia/València,100,8.24,3.17,0.7,1.49,0.89,0.56,4.37,8.07,9.11,19.33,1.11,1.55,34.88,2.81,0.86,2.26,0.43,0.17,0.03,100,6.21,3.09,0.88,1.3,0.85,0.52,6.71,9.15,6.36,15.32,1.35,1.62,40.61,2.1,0.93,2.44,0.41,0.13,0.02
2023M07,28 Madrid,100,13.83,2.12,2.8,2.17,2.69,1.65,4.82,3.39,13.53,8.04,2.23,4.43,27.29,2.72,1.48,5.04,0.74,0.32,0.71,100,14.58,2.02,2.74,2.38,3.21,1.67,4.16,3.23,13.63,8.02,1.93,4.72,26.96,2.54,1.43,4.97,0.72,0.29,0.8
2023M06,29 Málaga,100,51.3,0.67,1.2,1.64,1.16,0.8,2.08,2.55,4.33,2.92,2.36,1.75,18.64,1.77,0.51,2.95,0.32,0.71,2.34,100,51.25,0.76,1.74,1.03,1.29,0.83,3.17,2.68,3.83,2.59,3.12,1.99,18.51,1.39,0.59,2.92,0.35,0.55,1.43
2023M06,41 Sevilla,100,47.1,1.2,1.16,0.89,2.07,1.03,3.18,2.53,6.68,4.04,4.31,2.09,18.95,1.46,0.55,1.74,0.47,0.45,0.1,100,42.31,1.49,1.41,1.03,2.55,1.17,3.27,2.75,7.63,4.55,3.71,2.7,19.68,1.77,0.66,2.18,0.61,0.43,0.09
2023M06,"07 Balears, Illes",100,10.19,1.67,1.9,24.06,0.81,1.28,2.66,1.69,13.08,7.04,0.9,2.42,23.75,1.22,0.67,5.97,0.34,0.11,0.24,100,9.87,1.99,1.68,21.74,0.76,1.17,3.42,1.86,11.75,6.73,1.33,2.51,25.2,1.37,0.66,7.3,0.38,0.1,0.2
2023M06,08 Barcelona,100,6.47,2.44,1.1,2.76,1.57,0.51,1.99,1.59,45.65,5.44,0.7,1.9,20.33,1.14,1.12,4.38,0.4,0.4,0.12,100,6.71,2.23,1.23,2.46,1.74,0.55,2.35,1.88,45.46,5,0.7,2.25,19.36,1.11,1.48,4.41,0.51,0.49,0.07
2023M06,17 Girona,100,2.02,1.06,0.24,0.47,0.41,0.33,0.7,0.61,82.13,2.45,0.17,0.93,5.08,0.4,0.42,2.35,0.2,0.02,0,100,2.07,1.43,0.29,0.46,0.51,0.7,1.13,0.68,77.94,2.55,0.17,1.13,5.57,0.46,0.78,3.8,0.29,0.02,0
2023M06,46 Valencia/València,100,11.47,2.4,0.99,1.66,0.75,0.43,3.93,6.72,9.22,19.1,0.77,1.54,34.38,3.04,0.56,1.89,0.84,0.25,0.04,100,8.71,2.36,1.01,1.63,0.73,0.48,6,8.48,7.04,16.48,0.77,1.7,38.24,2.43,0.69,2.18,0.81,0.22,0.04
2023M06,28 Madrid,100,14,2.25,2.83,2.02,2.73,1.68,4.71,3.51,14.54,8.86,2.33,4.67,25.01,2.79,1.43,4.69,0.98,0.22,0.74,100,15.01,2.2,2.87,2.11,3.19,1.8,4.2,3.26,14.99,8.85,2.22,5.02,23.32,2.94,1.35,4.49,1.06,0.24,0.9
2023M05,29 Málaga,100,50.81,0.69,1.14,1.2,1.36,0.52,1.65,2.2,6.61,3,1.35,2.86,19.13,1.25,0.48,2.17,0.26,0.72,2.6,100,43.24,1.49,1.75,1.4,1.52,0.76,2.27,2.75,7.58,2.76,1.6,3.86,20.87,1.31,0.75,3.05,0.38,0.55,2.11
2023M05,41 Sevilla,100,42.25,1.22,1.41,1.32,1.98,0.87,2.56,2.34,9.47,4.19,3.34,2.1,20.75,1.31,2.09,1.98,0.41,0.33,0.08,100,37.98,1.36,1.65,1.48,2.41,1.19,2.73,2.48,10.08,4.81,2.91,2.62,21.47,1.33,2.15,2.49,0.47,0.34,0.05
2023M05,"07 Balears, Illes",100,6.39,1.63,1.09,39.07,1.72,1.62,2.24,1.28,13.76,4.9,0.94,2.62,16.73,1,0.72,3.62,0.44,0.22,0.03,100,6.04,2.52,1.48,39.22,1.13,2.11,2.84,2.36,12.35,4.05,1.17,2.19,15.03,0.78,1.15,4.91,0.5,0.14,0.02
2023M05,08 Barcelona,100,6.48,2.19,0.73,2.15,1.75,0.71,1.64,1.71,43.09,6.25,0.89,2.33,21.04,1.11,2.01,4.95,0.48,0.42,0.07,100,7.16,2.37,0.72,2.02,1.94,0.71,2.04,1.99,42.37,5.71,1.02,2.72,20.6,1.02,2.02,4.59,0.52,0.37,0.11
2023M05,17 Girona,100,1.89,0.78,0.38,0.56,0.46,0.27,1.73,0.64,80.38,3.63,0.14,0.83,5.47,0.37,0.34,1.9,0.21,0.02,0,100,2.42,1.07,0.67,0.95,1.18,0.34,4.94,0.95,69.44,5.22,0.19,1.61,6.68,0.49,0.49,3.09,0.24,0.02,0
2023M05,46 Valencia/València,100,11.81,2.59,0.94,1.95,0.77,0.53,2.9,5.08,12.02,23.69,0.77,1.93,27.68,2.95,0.83,2.2,0.31,1.02,0.02,100,10.67,3.2,1.28,1.65,0.75,0.63,4.24,4.76,11.54,22.52,1.08,2.51,26.94,2.71,1.07,2.84,0.37,1.25,0.01
2023M05,28 Madrid,100,16.13,2.26,2.77,2.23,3.24,1.7,4.49,3.09,14.3,7.96,2.1,4.31,24.42,2.89,1.36,4.57,0.96,0.43,0.79,100,16.71,2.09,2.78,2.22,3.75,1.81,4.02,2.93,14.55,7.9,1.96,4.81,23.41,2.88,1.34,4.47,0.89,0.48,1.01
2023M04,29 Málaga,100,47.8,0.86,0.7,0.85,1.38,0.46,2.31,2.5,6.46,3.96,1.78,2.36,22.72,1.28,0.51,2.06,0.29,0.77,0.93,100,39.87,1.44,1.21,1.21,1.2,0.57,2.61,2.56,7.74,4.43,2.11,3.73,24.03,1.13,0.81,3.57,0.51,0.53,0.73
2023M04,41 Sevilla,100,41.54,1.25,0.92,0.95,1.62,1.25,3.25,3.11,8.38,5.52,3.56,2.34,20.06,1.71,0.78,2.7,0.62,0.42,0.04,100,36.37,1.55,1.14,1.09,1.82,1.3,3.64,3.14,8.63,6.39,3.27,2.86,21.59,1.77,1.02,3.22,0.75,0.38,0.05
2023M04,"07 Balears, Illes",100,10.93,0.89,0.68,36.53,0.91,0.65,2.33,1.03,11.68,5.08,2.64,1.11,20.6,1.2,0.23,2.65,0.14,0.11,0.64,100,12.66,1.89,0.84,29.37,0.86,0.71,4.91,1.02,11.39,4.76,3.5,1.17,19.05,1.23,0.24,5.67,0.11,0.16,0.48
2023M04,08 Barcelona,100,6.97,2.16,0.85,2.24,1.7,0.68,1.79,1.61,45.61,5.81,0.67,2.49,19.57,1.09,1.1,5.2,0.32,0.12,0.02,100,7.22,1.94,1.03,2.01,1.86,0.73,2.7,1.48,44.9,5.59,0.89,2.84,18.44,1.08,1.15,5.68,0.31,0.13,0.02
2023M04,17 Girona,100,1.74,0.8,0.18,0.7,0.38,0.14,0.52,0.87,80.89,3.34,1,0.76,4.74,0.42,0.34,2.91,0.24,0.02,0,100,2.32,1.11,0.25,1.26,0.81,0.18,0.65,0.9,73.78,4.97,2.19,1.15,5.32,0.44,0.46,3.73,0.46,0.01,0
2023M04,46 Valencia/València,100,10.9,2.93,0.83,2.02,0.75,0.61,3.41,4.39,11.15,20.45,0.83,2.24,32.14,2.37,0.78,2.93,0.39,0.86,0.02,100,9.68,3.24,1.04,1.88,0.74,0.75,4.5,4.77,10.07,17.38,0.98,2.81,33.74,1.96,0.95,3.84,0.49,1.19,0.01
2023M04,28 Madrid,100,11.98,2.47,2.72,2.24,2.82,1.6,4.42,3.1,15.62,9.42,2.35,5.16,24.81,2.41,1.66,5.37,0.93,0.28,0.65,100,12.76,2.36,2.64,2.29,3.44,1.77,3.96,2.66,15.82,9.03,2.19,5.3,24.18,2.3,1.64,5.49,1.06,0.28,0.82
2023M03,29 Málaga,100,52.44,0.98,0.53,1.12,1.27,0.31,1.52,1.77,6.82,3.57,1.23,1.6,18.73,1.66,0.59,1.89,0.14,1.12,2.7,100,46.74,1.55,0.94,1.07,1.81,0.43,2.25,1.54,8.21,4.32,1.24,1.98,19.54,1.38,1.01,2.73,0.18,0.96,2.12
