periodo;pais_origen;viajeros;pernoctaciones
2024M07;Noruega;71165;371003
2024M07;Reino Unido;1311285;7466689
2024M07;Rusia;;
2024M07;Suiza;152258;689153
2024M07;Otros Países Europeos;220230;848980
2024M07;África;113276;294009
2024M07;UE28 sin España;4925734;23378883
2024M07;UE27_2020 sin España;3614448;15912194
2024M07;Resto del Mundo;331313;905151
2024M07;América (sin EEUU);508140;1239501
2024M07;Estados Unidos de América;489061;1204142
2024M07;Japón;27217;56999
2024M07;Asia (sin Japón);;
2024M06;Total;11865112;38185201
2024M06;Residentes en España;5419681;12347782
2024M06;Residentes en el Extranjero;6445432;25837418
2024M06;Alemania;835373;4495932
2024M06;Austria;60029;239892
2024M06;Bélgica;134241;593618
2024M06;Dinamarca;44292;183623
2024M06;Finlandia;24407;94121
2024M06;Francia;552932;1738308
2024M06;Grecia;16372;44327
2024M06;Irlanda;180968;924775
2024M06;Italia;325633;1006385
2024M06;Luxemburgo;8911;40071
2024M06;Países Bajos;263909;1192836
2024M06;Polonia;153981;817385
2024M06;Portugal;228972;673196
2024M06;República Checa;48729;246586
2024M06;Suecia;77030;336816
2024M06;Resto de la U.E.;186974;694329
2024M06;Noruega;48793;224055
2024M06;Reino Unido;1365862;7538958
2024M06;Rusia;;
2024M06;Suiza;110522;417611
2024M06;Otros Países Europeos;197907;694017
2024M06;África;74715;185544
2024M06;UE28 sin España;4508616;20861157
2024M06;UE27_2020 sin España;3142754;13322200
2024M06;Resto del Mundo;330668;782651
2024M06;América (sin EEUU);457393;1078862
2024M06;Estados Unidos de América;571681;1334877
2024M06;Japón;37250;71862
2024M06;Asia (sin Japón);;
2024M05;Total;11768411;35701080
2024M05;Residentes en España;4928517;10623796
2024M05;Residentes en el Extranjero;6839894;25077285
2024M05;Alemania;938592;4679079
2024M05;Austria;77343;275395
2024M05;Bélgica;152758;669474
2024M05;Dinamarca;54953;224753
2024M05;Finlandia;28980;119642
2024M05;Francia;807894;2408540
2024M05;Grecia;16915;45805
2024M05;Irlanda;187539;834469
2024M05;Italia;318920;870893
2024M05;Luxemburgo;11642;52960
2024M05;Países Bajos;294016;1317658
2024M05;Polonia;147440;635901
2024M05;Portugal;163039;368470
2024M05;República Checa;37660;143096
2024M05;Suecia;76343;313346
2024M05;Resto de la U.E.;181732;604591
2024M05;Noruega;46066;195409
2024M05;Reino Unido;1362521;6727915
2024M05;Rusia;;
2024M05;Suiza;117609;416899
2024M05;Otros Países Europeos;184333;573307
2024M05;África;71841;175594
2024M05;UE28 sin España;4858287;20291987
2024M05;UE27_2020 sin España;3495766;13564072
2024M05;Resto del Mundo;359002;765034
2024M05;América (sin EEUU);505456;1154750
2024M05;Estados Unidos de América;548908;1235243
2024M05;Japón;37934;73489
2024M05;Asia (sin Japón);;
2024M04;Total;9386103;27099375
2024M04;Residentes en España;4181084;8884448
2024M04;Residentes en el Extranjero;5205019;18214927
2024M04;Alemania;638213;3173927
2024M04;Austria;52790;180398
2024M04;Bélgica;136465;567835
2024M04;Dinamarca;48251;211984
2024M04;Finlandia;31247;153349
2024M04;Francia;629551;1810575
2024M04;Grecia;15092;39844
2024M04;Irlanda;136786;555977
2024M04;Italia;302203;815504
2024M04;Luxemburgo;11021;51774
2024M04;Países Bajos;218788;800419
2024M04;Polonia;112932;415012
2024M04;Portugal;177491;414060
2024M04;República Checa;31040;103079
2024M04;Suecia;71704;319171
2024M04;Resto de la U.E.;160365;497421
2024M04;Noruega;44259;206647
2024M04;Reino Unido;861943;4205971
2024M04;Rusia;;
2024M04;Suiza;106366;377703
2024M04;Otros Países Europeos;159725;453193
2024M04;África;60679;152146
2024M04;UE28 sin España;3635880;14316301
2024M04;UE27_2020 sin España;2773937;10110329
2024M04;Resto del Mundo;300003;638384
2024M04;América (sin EEUU);364968;869388
2024M04;Estados Unidos de América;400853;962398
2024M04;Japón;32947;65484
2024M04;Asia (sin Japón);;
2024M03;Total;8433226;24520234
2024M03;Residentes en España;4412670;9421644
2024M03;Residentes en el Extranjero;4020556;15098591
2024M03;Alemania;544724;2988329
2024M03;Austria;44892;175027
2024M03;Bélgica;96694;397927
2024M03;Dinamarca;59173;312051
2024M03;Finlandia;42542;259651
2024M03;Francia;344693;947890
2024M03;Grecia;14709;47870
2024M03;Irlanda;89912;403321
2024M03;Italia;242774;689604
2024M03;Luxemburgo;6342;28907
2024M03;Países Bajos;137899;548953
2024M03;Polonia;84928;337971
2024M03;Portugal;122916;252192
2024M03;República Checa;24630;91955
2024M03;Suecia;73995;386929
2024M03;Resto de la U.E.;132228;411370
2024M03;Noruega;53490;321027
2024M03;Reino Unido;689776;3429706
2024M03;Rusia;;
2024M03;Suiza;67218;236051
2024M03;Otros Países Europeos;132694;417999
2024M03;África;42332;111547
2024M03;UE28 sin España;2752827;11709654
2024M03;UE27_2020 sin España;2063051;8279948
2024M03;Resto del Mundo;228303;488906
2024M03;América (sin EEUU);318762;795450
2024M03;Estados Unidos de América;313915;799937
2024M03;Japón;32813;70076
2024M03;Asia (sin Japón);;
2024M02;Total;6512168;18581766
2024M02;Residentes en España;3422317;6774732
2024M02;Residentes en el Extranjero;3089851;11807033
2024M02;Alemania;321751;1877629
2024M02;Austria;28214;120959
2024M02;Bélgica;75702;337289
2024M02;Dinamarca;43789;253438
2024M02;Finlandia;36127;227853
2024M02;Francia;304882;822411
2024M02;Grecia;12941;43229
2024M02;Irlanda;72555;331926
2024M02;Italia;180397;547433
2024M02;Luxemburgo;5001;25070
2024M02;Países Bajos;127067;535759
2024M02;Polonia;77999;345291
2024M02;Portugal;109612;225585
2024M02;República Checa;20461;80508
2024M02;Suecia;60098;331212
2024M02;Resto de la U.E.;100351;312767
2024M02;Noruega;44226;295299
2024M02;Reino Unido;519513;2669132
2024M02;Rusia;;
2024M02;Suiza;47455;173917
2024M02;Otros Países Europeos;108579;354319
2024M02;África;56571;140255
2024M02;UE28 sin España;2096462;9087492
2024M02;UE27_2020 sin España;1576948;6418360
2024M02;Resto del Mundo;207281;471542
2024M02;América (sin EEUU);235324;598121
2024M02;Estados Unidos de América;165964;428198
2024M02;Japón;31851;67149
2024M02;Asia (sin Japón);;
2024M01;Total;5660859;16491597
2024M01;Residentes en España;2919329;5762176
2024M01;Residentes en el Extranjero;2741530;10729421
2024M01;Alemania;253218;1619813
2024M01;Austria;19240;92645
2024M01;Bélgica;63212;299887
2024M01;Dinamarca;37190;212932
2024M01;Finlandia;34610;226174
2024M01;Francia;243554;672760
2024M01;Grecia;11527;29472
2024M01;Irlanda;68131;342315
2024M01;Italia;185269;580111
2024M01;Luxemburgo;3891;24692
2024M01;Países Bajos;116770;490405
2024M01;Polonia;76597;324211
2024M01;Portugal;87823;173563
2024M01;República Checa;12552;45007
2024M01;Suecia;61269;348892
2024M01;Resto de la U.E.;88373;285628
2024M01;Noruega;39149;233547
2024M01;Reino Unido;428802;2453646
2024M01;Rusia;;
2024M01;Suiza;35231;136162
2024M01;Otros Países Europeos;106311;317735
2024M01;África;61716;156419
2024M01;UE28 sin España;1792026;8222153
2024M01;UE27_2020 sin España;1363225;5768507
2024M01;Resto del Mundo;210846;470275
2024M01;América (sin EEUU);263204;651403
2024M01;Estados Unidos de América;153304;388082
2024M01;Japón;24668;48896
2024M01;Asia (sin Japón);;
2023M12;Total;6586138;17913857
2023M12;Residentes en España;3736128;7363463
2023M12;Residentes en el Extranjero;2850010;10550395
2023M12;Alemania;265222;1634262
2023M12;Austria;20273;86582
2023M12;Bélgica;67538;325506
2023M12;Dinamarca;32715;177892
2023M12;Finlandia;32590;224511
2023M12;Francia;284341;703630
2023M12;Grecia;13188;38730
2023M12;Irlanda;57019;268118
2023M12;Italia;192995;533064
2023M12;Luxemburgo;5196;27113
2023M12;Países Bajos;96042;398031
2023M12;Polonia;56322;236583
2023M12;Portugal;137950;253428
2023M12;República Checa;13418;49777
2023M12;Suecia;55338;323683
2023M12;Resto de la U.E.;90674;283932
2023M12;Noruega;30854;193009
2023M12;Reino Unido;448005;2475906
2023M12;Rusia;;
2023M12;Suiza;43965;153965
2023M12;Otros Países Europeos;103690;307868
2023M12;África;56184;144946
2023M12;UE28 sin España;1868826;8040748
2023M12;UE27_2020 sin España;1420821;5564842
2023M12;Resto del Mundo;207736;460683
2023M12;América (sin EEUU);251354;584694
2023M12;Estados Unidos de América;191388;472389
2023M12;Japón;26533;54371
2023M12;Asia (sin Japón);;
2023M11;Total;6798815;19023828
2023M11;Residentes en España;3586759;6957475
2023M11;Residentes en el Extranjero;3212056;12066353
2023M11;Alemania;334775;2004674
2023M11;Austria;27479;121654
2023M11;Bélgica;78287;357727
2023M11;Dinamarca;42067;213538
2023M11;Finlandia;43287;274594
2023M11;Francia;279934;741958
2023M11;Grecia;14218;38322
2023M11;Irlanda;70387;334179
2023M11;Italia;192385;543701
2023M11;Luxemburgo;5262;25420
2023M11;Países Bajos;115945;453594
2023M11;Polonia;70702;271071
2023M11;Portugal;98114;193958
2023M11;República Checa;20033;75003
2023M11;Suecia;74144;426545
2023M11;Resto de la U.E.;107369;334242
2023M11;Noruega;42618;278288
2023M11;Reino Unido;520064;2749562
2023M11;Rusia;;
2023M11;Suiza;51337;197897
2023M11;Otros Países Europeos;110850;324109
2023M11;África;53364;140759
2023M11;UE28 sin España;2094452;9159741
2023M11;UE27_2020 sin España;1574388;6410179
2023M11;Resto del Mundo;222631;469708
2023M11;América (sin EEUU);290492;689288
2023M11;Estados Unidos de América;250259;628841
2023M11;Japón;28743;58834
2023M11;Asia (sin Japón);;
2023M10;Total;10390441;32415687
2023M10;Residentes en España;4589155;9662174
2023M10;Residentes en el Extranjero;5801286;22753513
2023M10;Alemania;800108;4543616
2023M10;Austria;56793;212340
2023M10;Bélgica;135392;582917
2023M10;Dinamarca;66548;323420
2023M10;Finlandia;43654;219136
2023M10;Francia;621677;1847246
2023M10;Grecia;14706;41673
2023M10;Irlanda;146250;667551
2023M10;Italia;265751;714811
2023M10;Luxemburgo;9116;41327
2023M10;Países Bajos;232544;1013787
2023M10;Polonia;112801;498379
2023M10;Portugal;146895;344079
2023M10;República Checa;35884;148694
2023M10;Suecia;91634;378622
2023M10;Resto de la U.E.;158421;535331
2023M10;Noruega;62029;323588
2023M10;Reino Unido;1077224;6003348
2023M10;Rusia;;
2023M10;Suiza;128628;556985
2023M10;Otros Países Europeos;146458;481729
2023M10;África;69680;188778
2023M10;UE28 sin España;4015396;18116276
2023M10;UE27_2020 sin España;2938171;12112928
2023M10;Resto del Mundo;335662;721921
2023M10;América (sin EEUU);469114;1088466
2023M10;Estados Unidos de América;448050;1044392
2023M10;Japón;34799;68240
2023M10;Asia (sin Japón);;
2023M09;Total;11627872;37980229
2023M09;Residentes en España;5122862;11783151
2023M09;Residentes en el Extranjero;6505010;26197078
2023M09;Alemania;935137;5054810
2023M09;Austria;62045;260577
2023M09;Bélgica;164049;727586
2023M09;Dinamarca;58557;234939
2023M09;Finlandia;25067;94416
2023M09;Francia;625640;1963100
2023M09;Grecia;13487;37638
2023M09;Irlanda;176614;797076
2023M09;Italia;315872;1013267
2023M09;Luxemburgo;11309;63599
2023M09;Países Bajos;276962;1266504
2023M09;Polonia;143550;718880
2023M09;Portugal;227742;777119
2023M09;República Checa;48620;234488
2023M09;Suecia;77154;315575
2023M09;Resto de la U.E.;170612;654456
2023M09;Noruega;55502;219403
2023M09;Reino Unido;1315229;7237750
2023M09;Rusia;;
2023M09;Suiza;127504;498617
2023M09;Otros Países Europeos;166424;583423
2023M09;África;75960;187205
2023M09;UE28 sin España;4647646;21451781
2023M09;UE27_2020 sin España;3332417;14214031
2023M09;Resto del Mundo;349814;822039
2023M09;América (sin EEUU);502969;1151327
2023M09;Estados Unidos de América;467826;1075129
2023M09;Japón;35613;74408
2023M09;Asia (sin Japón);;
2023M08;Total;13266497;46695607
2023M08;Residentes en España;6381789;17548462
2023M08;Residentes en el Extranjero;6884708;29147145
2023M08;Alemania;822266;4553050
2023M08;Austria;63084;299893
2023M08;Bélgica;173132;724555
2023M08;Dinamarca;50160;261526
2023M08;Finlandia;14015;55414
2023M08;Francia;1013707;3530465
2023M08;Grecia;17091;50242
2023M08;Irlanda;152649;781883
2023M08;Italia;535344;1903428
2023M08;Luxemburgo;13730;69858
2023M08;Países Bajos;331299;1620348
2023M08;Polonia;131818;704398
2023M08;Portugal;357426;1227651
2023M08;República Checa;45589;233771
2023M08;Suecia;62714;289605
2023M08;Resto de la U.E.;187364;755455
2023M08;Noruega;37768;196179
2023M08;Reino Unido;1285936;7488102
2023M08;Rusia;;
2023M08;Suiza;98882;466034
2023M08;Otros Países Europeos;177389;678895
2023M08;África;116747;321296
2023M08;UE28 sin España;5257323;24549644
2023M08;UE27_2020 sin España;3971387;17061542
2023M08;Resto del Mundo;319399;861030
2023M08;América (sin EEUU);455100;1085803
2023M08;Estados Unidos de América;338032;814906
2023M08;Japón;26360;57167
2023M08;Asia (sin Japón);;
2023M07;Total;12680483;43109417
2023M07;Residentes en España;6012479;15303797
2023M07;Residentes en el Extranjero;6668004;27805620
2023M07;Alemania;804595;4461214
2023M07;Austria;64943;289721
2023M07;Bélgica;227444;981631
2023M07;Dinamarca;83365;411921
2023M07;Finlandia;23440;87327
2023M07;Francia;737817;2378675
2023M07;Grecia;14547;44515
2023M07;Irlanda;154419;843580
2023M07;Italia;352978;1240864
2023M07;Luxemburgo;10281;46482
2023M07;Países Bajos;309905;1329781
2023M07;Polonia;146803;782672
2023M07;Portugal;238855;775471
2023M07;República Checa;52972;285777
2023M07;Suecia;85223;366800
2023M07;Resto de la U.E.;188440;761736
2023M07;Noruega;72823;389425
2023M07;Reino Unido;1297386;7244055
2023M07;Rusia;;
2023M07;Suiza;148103;677205
2023M07;Otros Países Europeos;196146;771119
2023M07;África;99238;251678
2023M07;UE28 sin España;4793411;22332223
2023M07;UE27_2020 sin España;3496025;15088168
2023M07;Resto del Mundo;344249;954839
2023M07;América (sin EEUU);483156;1153428
2023M07;Estados Unidos de América;444443;1101227
2023M07;Japón;22657;48075
2023M07;Asia (sin Japón);;
2023M06;Total;11535550;36255025
2023M06;Residentes en España;5455490;12216070
2023M06;Residentes en el Extranjero;6080059;24038955
2023M06;Alemania;858136;4451013
2023M06;Austria;57655;230713
2023M06;Bélgica;114500;522825
2023M06;Dinamarca;44028;195181
2023M06;Finlandia;22980;84245
2023M06;Francia;554215;1665248
2023M06;Grecia;14364;38133
2023M06;Irlanda;156683;805595
2023M06;Italia;307839;966271
2023M06;Luxemburgo;11154;43178
2023M06;Países Bajos;247274;1055908
2023M06;Polonia;130829;637338
2023M06;Portugal;198834;570429
2023M06;República Checa;43253;210186
2023M06;Suecia;71439;299690
2023M06;Resto de la U.E.;168686;621157
2023M06;Noruega;49107;237382
2023M06;Reino Unido;1313714;7098445
2023M06;Rusia;;
2023M06;Suiza;101881;403316
2023M06;Otros Países Europeos;172649;619570
2023M06;África;66615;152289
2023M06;UE28 sin España;4315582;19495555
2023M06;UE27_2020 sin España;3001868;12397110
2023M06;Resto del Mundo;335588;779938
2023M06;América (sin EEUU);445741;1020623
2023M06;Estados Unidos de América;501977;1155467
2023M06;Japón;26099;50878
2023M06;Asia (sin Japón);;
2023M05;Total;10580202;32187667
2023M05;Residentes en España;4553381;9784069
2023M05;Residentes en el Extranjero;6026821;22403599
2023M05;Alemania;837369;4113960
2023M05;Austria;68696;260933
2023M05;Bélgica;150287;674756
2023M05;Dinamarca;48290;206370
2023M05;Finlandia;23461;85167
2023M05;Francia;770117;2214128
2023M05;Grecia;12464;35980
2023M05;Irlanda;152793;681894
2023M05;Italia;281024;773655
2023M05;Luxemburgo;10068;41755
2023M05;Países Bajos;246257;1041196
2023M05;Polonia;115088;506833
2023M05;Portugal;137771;326122
2023M05;República Checa;41073;155442
2023M05;Suecia;70640;300940
2023M05;Resto de la U.E.;153557;498610
2023M05;Noruega;46367;197613
2023M05;Reino Unido;1214064;6286436
2023M05;Rusia;;
2023M05;Suiza;112091;418745
2023M05;Otros Países Europeos;139470;455061
2023M05;África;64725;152833
