,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
30,2024M08,"07 Balears, Illes",2093220,241846,1851374,11414856,999650,10415206,Illes Balears,2024M08_Illes Balears,5.453251927652134,4.1334154792719335,5.625662886051116,2024,8,2024-08-01
31,2024M08,08 Barcelona,1340634,262786,1077848,4061207,589496,3471711,Barcelona,2024M08_Barcelona,3.029318218096811,2.2432549679206657,3.2209652938076614,2024,8,2024-08-01
32,2024M08,17 Girona,658624,256450,402174,2408114,742204,1665909,Girona,2024M08_Girona,3.65628036633952,2.8941470072138817,4.142259320592579,2024,8,2024-08-01
33,2024M08,46 Valencia/València,389611,201701,187910,1055279,554991,500288,Valencia,2024M08_Valencia,2.7085451899458692,2.7515530413830374,2.66238092703954,2024,8,2024-08-01
34,2024M08,28 Madrid,1025471,469667,555803,2037081,830595,1206486,Madrid,2024M08_Madrid,1.9864832842664493,1.768476388590214,2.1707079666716442,2024,8,2024-08-01
35,2024M07,29 Málaga,652289,255067,397222,2489865,735271,1754594,Málaga,2024M07_Málaga,3.817119405662214,2.8826582819416076,4.417162191419408,2024,7,2024-07-01
36,2024M07,41 Sevilla,294007,123832,170175,582973,209860,373113,Sevilla,2024M07_Sevilla,1.982854149731129,1.6947154208928226,2.1925253415601587,2024,7,2024-07-01
37,2024M07,"07 Balears, Illes",2022788,213425,1809362,10920167,812025,10108141,Illes Balears,2024M07_Illes Balears,5.3985721687097215,3.804732341571981,5.586577478691384,2024,7,2024-07-01
38,2024M07,08 Barcelona,1337967,308503,1029464,3881922,619025,3262897,Barcelona,2024M07_Barcelona,2.901358553686302,2.006544506860549,3.169510541407956,2024,7,2024-07-01
39,2024M07,17 Girona,593977,202418,391559,2206406,520798,1685607,Girona,2024M07_Girona,3.7146320480422643,2.572883834441601,4.304860825571625,2024,7,2024-07-01
40,2024M07,46 Valencia/València,368825,201781,167045,964054,524939,439115,Valencia,2024M07_Valencia,2.6138520978783975,2.601528389689812,2.628722799245712,2024,7,2024-07-01
41,2024M07,28 Madrid,1173350,575463,597887,2314639,999921,1314718,Madrid,2024M07_Madrid,1.972675672220565,1.7375939026488236,2.19894060248843,2024,7,2024-07-01
42,2024M06,29 Málaga,632616,231637,400979,2246668,540307,1706362,Málaga,2024M06_Málaga,3.5513929461158114,2.332559133471768,4.255489688986207,2024,6,2024-06-01
43,2024M06,41 Sevilla,330565,152373,178192,647282,254756,392525,Sevilla,2024M06_Sevilla,1.9581080876680834,1.6719235035078392,2.2028205531112506,2024,6,2024-06-01
44,2024M06,"07 Balears, Illes",1859985,241084,1618901,9474122,857430,8616693,Illes Balears,2024M06_Illes Balears,5.093655056357981,3.556561198586385,5.322557092743781,2024,6,2024-06-01
45,2024M06,08 Barcelona,1291093,322416,968677,3505866,610476,2895390,Barcelona,2024M06_Barcelona,2.7154248377150214,1.893442012803335,2.9890149141561118,2024,6,2024-06-01
46,2024M06,17 Girona,526211,222070,304140,1595040,486792,1108248,Girona,2024M06_Girona,3.031179507840011,2.1920655649119647,3.6438745314657726,2024,6,2024-06-01
47,2024M06,46 Valencia/València,353802,204226,149576,852471,465913,386558,Valencia,2024M06_Valencia,2.409457832346906,2.28135986603077,2.5843584532277903,2024,6,2024-06-01
48,2024M06,28 Madrid,1189952,598737,591215,2346598,1017104,1329495,Madrid,2024M06_Madrid,1.9720106357231215,1.6987492004001756,2.2487504545723636,2024,6,2024-06-01
49,2024M05,29 Málaga,652057,197058,454999,2231003,432101,1798902,Málaga,2024M05_Málaga,3.421484624810408,2.1927605070588356,3.9536394585482606,2024,5,2024-05-01
50,2024M05,41 Sevilla,383281,156750,226530,775427,266724,508703,Sevilla,2024M05_Sevilla,2.0231292446012197,1.7015885167464115,2.2456319251313293,2024,5,2024-05-01
51,2024M05,"07 Balears, Illes",1747086,189989,1557097,8199175,563225,7635950,Illes Balears,2024M05_Illes Balears,4.693057468264298,2.9645137350057107,4.903965520452483,2024,5,2024-05-01
52,2024M05,08 Barcelona,1300459,292434,1008025,3434137,587277,2846860,Barcelona,2024M05_Barcelona,2.6407114718726232,2.008237756211658,2.8241958284764763,2024,5,2024-05-01
53,2024M05,17 Girona,490049,168230,321819,1359535,348416,1011118,Girona,2024M05_Girona,2.774283796110185,2.0710693693158175,3.1418841025545414,2024,5,2024-05-01
54,2024M05,46 Valencia/València,349385,186459,162926,848851,406490,442360,Valencia,2024M05_Valencia,2.4295576513015726,2.1800503059653864,2.7150976516946344,2024,5,2024-05-01
55,2024M05,28 Madrid,1231218,582493,648725,2490212,1011509,1478703,Madrid,2024M05_Madrid,2.0225597741423536,1.7365170053545709,2.279398820763806,2024,5,2024-05-01
56,2024M04,29 Málaga,601631,179976,421655,1945020,386932,1558088,Málaga,2024M04_Málaga,3.232911867905743,2.149908876739121,3.695172593708126,2024,4,2024-04-01
57,2024M04,41 Sevilla,377242,162581,214661,767023,289950,477073,Sevilla,2024M04_Sevilla,2.0332386107591414,1.7834187266654775,2.222448418669437,2024,4,2024-04-01
58,2024M04,"07 Balears, Illes",761737,111851,649886,3417164,355710,3061453,Illes Balears,2024M04_Illes Balears,4.486015514541108,3.180212961886796,4.710753886066172,2024,4,2024-04-01
59,2024M04,08 Barcelona,1105260,270776,834484,2809542,543198,2266344,Barcelona,2024M04_Barcelona,2.541973834210955,2.0060788253020947,2.715862736733119,2024,4,2024-04-01
60,2024M04,17 Girona,325500,112923,212577,879409,241003,638406,Girona,2024M04_Girona,2.701717357910906,2.1342242058747996,3.0031753200016933,2024,4,2024-04-01
61,2024M04,46 Valencia/València,316892,162069,154823,764801,333321,431480,Valencia,2024M04_Valencia,2.4134436969062016,2.0566610517742445,2.786924423373788,2024,4,2024-04-01
62,2024M04,28 Madrid,1126754,517185,609568,2301405,903137,1398268,Madrid,2024M04_Madrid,2.0425088351139644,1.7462552084843914,2.2938671321329203,2024,4,2024-04-01
63,2024M03,29 Málaga,506900,207072,299828,1712594,486039,1226555,Málaga,2024M03_Málaga,3.3785638192937464,2.347198076031525,4.09086209426738,2024,3,2024-03-01
64,2024M03,41 Sevilla,340136,157047,183089,711305,284466,426838,Sevilla,2024M03_Sevilla,2.0912370345979254,1.8113431011098589,2.331314278847992,2024,3,2024-03-01
65,2024M03,"07 Balears, Illes",375281,104550,270731,1677443,304250,1373193,Illes Balears,2024M03_Illes Balears,4.469831939266843,2.9100908656145386,5.072167575933307,2024,3,2024-03-01
66,2024M03,08 Barcelona,1026923,290694,736229,2538561,564127,1974434,Barcelona,2024M03_Barcelona,2.47200715146121,1.9406214094546155,2.6818204661864717,2024,3,2024-03-01
67,2024M03,17 Girona,242817,132842,109975,554160,267739,286421,Girona,2024M03_Girona,2.2822125304241467,2.015469505126391,2.604419186178677,2024,3,2024-03-01
68,2024M03,46 Valencia/València,327473,189731,137742,773143,402680,370463,Valencia,2024M03_Valencia,2.360936626836411,2.122373254765958,2.689542768364043,2024,3,2024-03-01
69,2024M03,28 Madrid,1094034,578912,515122,2262645,1042343,1220302,Madrid,2024M03_Madrid,2.0681669856695497,1.8005206318058704,2.3689572567275325,2024,3,2024-03-01
70,2024M02,29 Málaga,373782,160198,213584,1170897,332350,838547,Málaga,2024M02_Málaga,3.1325665762396264,2.074620157555026,3.926075923290134,2024,2,2024-02-01
71,2024M02,41 Sevilla,294357,144952,149405,588754,246830,341924,Sevilla,2024M02_Sevilla,2.0001358894131958,1.702839560682157,2.288571332954051,2024,2,2024-02-01
72,2024M02,"07 Balears, Illes",148843,57019,91824,585313,170008,415305,Illes Balears,2024M02_Illes Balears,3.932418723084055,2.9816026236868414,4.522837166753789,2024,2,2024-02-01
73,2024M02,08 Barcelona,842121,255670,586451,2085109,484989,1600121,Barcelona,2024M02_Barcelona,2.476020666863788,1.896933547150624,2.728482004464141,2024,2,2024-02-01
74,2024M02,17 Girona,146071,77554,68516,274407,125343,149064,Girona,2024M02_Girona,1.8785864408404132,1.6162029037831704,2.1756086169653805,2024,2,2024-02-01
75,2024M02,46 Valencia/València,256943,147544,109399,532714,262125,270590,Valencia,2024M02_Valencia,2.0732769524758408,1.776588678631459,2.473422974615856,2024,2,2024-02-01
76,2024M02,28 Madrid,972927,543763,429164,1920576,941378,979198,Madrid,2024M02_Madrid,1.9740186057124534,1.7312284947670216,2.2816405849512074,2024,2,2024-02-01
77,2024M01,29 Málaga,308291,128732,179559,899576,235670,663907,Málaga,2024M01_Málaga,2.9179444096648943,1.8307025448218004,3.697430927995812,2024,1,2024-01-01
78,2024M01,41 Sevilla,265030,132023,133008,524637,225917,298720,Sevilla,2024M01_Sevilla,1.9795381654906992,1.7111942616059324,2.245879947070853,2024,1,2024-01-01
79,2024M01,"07 Balears, Illes",69271,30560,38711,226867,61386,165481,Illes Balears,2024M01_Illes Balears,3.2750646013483276,2.0087041884816754,4.274779778357573,2024,1,2024-01-01
80,2024M01,08 Barcelona,744854,231739,513115,1776582,435764,1340817,Barcelona,2024M01_Barcelona,2.385141249157553,1.8804085630817429,2.613092581585025,2024,1,2024-01-01
81,2024M01,17 Girona,125212,74352,50860,212116,120857,91259,Girona,2024M01_Girona,1.6940548829185702,1.625470733806757,1.7943177349587103,2024,1,2024-01-01
82,2024M01,46 Valencia/València,223867,126627,97240,452146,221740,230406,Valencia,2024M01_Valencia,2.0197081302737785,1.7511273267154714,2.3694570135746607,2024,1,2024-01-01
83,2024M01,28 Madrid,895214,490157,405057,1814976,879889,935087,Madrid,2024M01_Madrid,2.0274213763412994,1.7951166667006693,2.308531885635849,2024,1,2024-01-01
84,2023M12,29 Málaga,325375,153016,172359,960249,320961,639288,Málaga,2023M12_Málaga,2.9512070687668075,2.097564960527004,3.7090491358153623,2023,12,2023-12-01
85,2023M12,41 Sevilla,296784,161030,135754,597988,300382,297606,Sevilla,2023M12_Sevilla,2.0148929861448055,1.8653791219027511,2.192244795733459,2023,12,2023-12-01
86,2023M12,"07 Balears, Illes",87937,34963,52974,270138,72231,197907,Illes Balears,2023M12_Illes Balears,3.0719492363851395,2.06592683694191,3.735927058557028,2023,12,2023-12-01
87,2023M12,08 Barcelona,807856,260712,547144,1857414,472811,1384603,Barcelona,2023M12_Barcelona,2.299189459507635,1.8135375433428458,2.5306007193718654,2023,12,2023-12-01
88,2023M12,17 Girona,160939,97216,63723,308760,176705,132056,Girona,2023M12_Girona,1.9184908567842474,1.8176534726793943,2.0723443654567424,2023,12,2023-12-01
89,2023M12,46 Valencia/València,242739,141843,100896,489496,252626,236870,Valencia,2023M12_Valencia,2.016552758312426,1.781025500024675,2.347664922296226,2023,12,2023-12-01
90,2023M12,28 Madrid,1052428,627019,425410,2126979,1155296,971683,Madrid,2023M12_Madrid,2.021020915445047,1.8425215184866806,2.2841094473566677,2023,12,2023-12-01
91,2023M11,29 Málaga,381833,149553,232281,1218526,312401,906125,Málaga,2023M11_Málaga,3.191253768008527,2.088898250118687,3.9009863053801217,2023,11,2023-11-01
92,2023M11,41 Sevilla,290333,145435,144897,587432,261713,325719,Sevilla,2023M11_Sevilla,2.023304274746584,1.7995186853233403,2.2479347398496863,2023,11,2023-11-01
93,2023M11,"07 Balears, Illes",113029,40472,72557,413377,82054,331322,Illes Balears,2023M11_Illes Balears,3.6572649497031735,2.0274263688475984,4.566368510274681,2023,11,2023-11-01
94,2023M11,08 Barcelona,916429,272902,643526,2139733,492263,1647469,Barcelona,2023M11_Barcelona,2.3348595472207885,1.803808693230537,2.560065949161339,2023,11,2023-11-01
95,2023M11,17 Girona,150172,76831,73341,304105,130560,173545,Girona,2023M11_Girona,2.0250446155075514,1.699314078952506,2.3662753439413153,2023,11,2023-11-01
96,2023M11,46 Valencia/València,263959,148640,115319,542245,270731,271515,Valencia,2023M11_Valencia,2.0542773688337963,1.8213872443487622,2.3544689079856744,2023,11,2023-11-01
