,periodo,pais_origen,viajeros,pernoctaciones,estancia_media,year,month,iso_date
63,2024M11,Asia (sin Japón),,,,2024,11,2024-11-01
64,2024M10,Total,10757739.0,33836772.0,3.1453423437768846,2024,10,2024-10-01
65,2024M10,Residentes en España,4523969.0,9614409.0,2.1252154910875825,2024,10,2024-10-01
66,2024M10,Residentes en el Extranjero,6233770.0,24222363.0,3.8856683836586847,2024,10,2024-10-01
67,2024M10,Alemania,893847.0,4990492.0,5.583161324029728,2024,10,2024-10-01
68,2024M10,Austria,61734.0,228695.0,3.7045226293452553,2024,10,2024-10-01
69,2024M10,Bélgica,140450.0,667351.0,4.751520113919544,2024,10,2024-10-01
70,2024M10,Dinamarca,67730.0,342420.0,5.0556621880998085,2024,10,2024-10-01
71,2024M10,Finlandia,46880.0,229977.0,4.905652730375427,2024,10,2024-10-01
72,2024M10,Francia,664619.0,1974407.0,2.9707351128992703,2024,10,2024-10-01
73,2024M10,Grecia,14305.0,40204.0,2.8104858441104508,2024,10,2024-10-01
74,2024M10,Irlanda,155568.0,721429.0,4.6373868661935616,2024,10,2024-10-01
75,2024M10,Italia,282888.0,756382.0,2.6737860920222842,2024,10,2024-10-01
76,2024M10,Luxemburgo,8952.0,41671.0,4.65493744414656,2024,10,2024-10-01
77,2024M10,Países Bajos,244099.0,1073474.0,4.397699294138853,2024,10,2024-10-01
78,2024M10,Polonia,124390.0,519815.0,4.178913095908031,2024,10,2024-10-01
79,2024M10,Portugal,149707.0,352814.0,2.356696747647071,2024,10,2024-10-01
80,2024M10,República Checa,39506.0,169577.0,4.292436591910089,2024,10,2024-10-01
81,2024M10,Suecia,94802.0,429052.0,4.525769498533786,2024,10,2024-10-01
82,2024M10,Resto de la U.E.,175192.0,589881.0,3.3670544317092106,2024,10,2024-10-01
83,2024M10,Noruega,66360.0,334131.0,5.035126582278481,2024,10,2024-10-01
84,2024M10,Reino Unido,1112550.0,6112425.0,5.494067682351355,2024,10,2024-10-01
85,2024M10,Rusia,,,,2024,10,2024-10-01
86,2024M10,Suiza,139479.0,576866.0,4.135862746363252,2024,10,2024-10-01
87,2024M10,Otros Países Europeos,182121.0,580408.0,3.1869361578291358,2024,10,2024-10-01
88,2024M10,África,73462.0,187527.0,2.5527075222564046,2024,10,2024-10-01
89,2024M10,UE28 sin España,4277218.0,19240066.0,4.498266396522226,2024,10,2024-10-01
90,2024M10,UE27_2020 sin España,3164669.0,13127641.0,4.148187693562897,2024,10,2024-10-01
91,2024M10,Resto del Mundo,335723.0,741023.0,2.2072452587400924,2024,10,2024-10-01
92,2024M10,América (sin EEUU),503613.0,1151690.0,2.286855184437256,2024,10,2024-10-01
93,2024M10,Estados Unidos de América,495221.0,1126877.0,2.2755032601606153,2024,10,2024-10-01
94,2024M10,Japón,38081.0,72687.0,1.9087471442451616,2024,10,2024-10-01
95,2024M10,Asia (sin Japón),,,,2024,10,2024-10-01
96,2024M09,Total,11753507.0,38965938.0,3.3152605430872675,2024,9,2024-09-01
97,2024M09,Residentes en España,4991258.0,11754777.0,2.3550730096500723,2024,9,2024-09-01
98,2024M09,Residentes en el Extranjero,6762248.0,27211161.0,4.023981522121046,2024,9,2024-09-01
99,2024M09,Alemania,919461.0,5060994.0,5.504305239700216,2024,9,2024-09-01
100,2024M09,Austria,61503.0,252528.0,4.105946051412126,2024,9,2024-09-01
101,2024M09,Bélgica,165428.0,765868.0,4.629615300916411,2024,9,2024-09-01
102,2024M09,Dinamarca,61810.0,265161.0,4.289936903413687,2024,9,2024-09-01
103,2024M09,Finlandia,25424.0,103152.0,4.057268722466961,2024,9,2024-09-01
104,2024M09,Francia,631226.0,2025526.0,3.20887606023833,2024,9,2024-09-01
105,2024M09,Grecia,14762.0,39821.0,2.697534209456713,2024,9,2024-09-01
106,2024M09,Irlanda,190473.0,887047.0,4.657074756002163,2024,9,2024-09-01
107,2024M09,Italia,320475.0,1033443.0,3.2247226772759188,2024,9,2024-09-01
108,2024M09,Luxemburgo,11936.0,65117.0,5.455512734584451,2024,9,2024-09-01
109,2024M09,Países Bajos,288054.0,1322227.0,4.590205308726836,2024,9,2024-09-01
110,2024M09,Polonia,161560.0,806570.0,4.992386729388462,2024,9,2024-09-01
111,2024M09,Portugal,233122.0,791923.0,3.397032455109342,2024,9,2024-09-01
112,2024M09,República Checa,50572.0,249027.0,4.924207071106541,2024,9,2024-09-01
113,2024M09,Suecia,70856.0,289411.0,4.084495314440556,2024,9,2024-09-01
114,2024M09,Resto de la U.E.,185119.0,728955.0,3.937764356981185,2024,9,2024-09-01
115,2024M09,Noruega,52748.0,225980.0,4.284143474634109,2024,9,2024-09-01
116,2024M09,Reino Unido,1345502.0,7272079.0,5.40473295468903,2024,9,2024-09-01
117,2024M09,Rusia,,,,2024,9,2024-09-01
118,2024M09,Suiza,137166.0,544148.0,3.9670763891926573,2024,9,2024-09-01
119,2024M09,Otros Países Europeos,205356.0,769960.0,3.7493913009602835,2024,9,2024-09-01
120,2024M09,África,83095.0,221882.0,2.670220831578314,2024,9,2024-09-01
121,2024M09,UE28 sin España,4737284.0,21958849.0,4.635324586830766,2024,9,2024-09-01
122,2024M09,UE27_2020 sin España,3391782.0,14686770.0,4.330104352225467,2024,9,2024-09-01
123,2024M09,Resto del Mundo,349119.0,814550.0,2.3331586078099447,2024,9,2024-09-01
124,2024M09,América (sin EEUU),539247.0,1231176.0,2.28313926642151,2024,9,2024-09-01
125,2024M09,Estados Unidos de América,514136.0,1176953.0,2.289186129739991,2024,9,2024-09-01
126,2024M09,Japón,38963.0,80798.0,2.0737109565485206,2024,9,2024-09-01
127,2024M09,Asia (sin Japón),,,,2024,9,2024-09-01
128,2024M08,Total,13622908.0,47760600.0,3.505903438531626,2024,8,2024-08-01
129,2024M08,Residentes en España,6363350.0,17310199.0,2.7202965419158147,2024,8,2024-08-01
130,2024M08,Residentes en el Extranjero,7259558.0,30450401.0,4.194525479374915,2024,8,2024-08-01
131,2024M08,Alemania,847500.0,4762987.0,5.620043657817109,2024,8,2024-08-01
132,2024M08,Austria,65153.0,288816.0,4.43288873881479,2024,8,2024-08-01
133,2024M08,Bélgica,186469.0,779611.0,4.180914790125973,2024,8,2024-08-01
134,2024M08,Dinamarca,46967.0,242740.0,5.168309664232333,2024,8,2024-08-01
135,2024M08,Finlandia,12701.0,48713.0,3.835367293913865,2024,8,2024-08-01
136,2024M08,Francia,1068792.0,3672995.0,3.4365854160585037,2024,8,2024-08-01
137,2024M08,Grecia,16824.0,47355.0,2.814728958630528,2024,8,2024-08-01
138,2024M08,Irlanda,158716.0,841733.0,5.303390962473853,2024,8,2024-08-01
139,2024M08,Italia,547898.0,1976847.0,3.608056609076872,2024,8,2024-08-01
140,2024M08,Luxemburgo,15557.0,71971.0,4.6262775599408625,2024,8,2024-08-01
141,2024M08,Países Bajos,334802.0,1595899.0,4.766694942085173,2024,8,2024-08-01
142,2024M08,Polonia,157683.0,854384.0,5.418364693720947,2024,8,2024-08-01
143,2024M08,Portugal,387598.0,1340439.0,3.4583227983632527,2024,8,2024-08-01
144,2024M08,República Checa,44805.0,226512.0,5.055507197857382,2024,8,2024-08-01
145,2024M08,Suecia,63077.0,292734.0,4.640899218415587,2024,8,2024-08-01
146,2024M08,Resto de la U.E.,210139.0,841897.0,4.0063814903468655,2024,8,2024-08-01
147,2024M08,Noruega,33623.0,169840.0,5.051304166790589,2024,8,2024-08-01
148,2024M08,Reino Unido,1333270.0,7664524.0,5.748666061637928,2024,8,2024-08-01
149,2024M08,Rusia,,,,2024,8,2024-08-01
150,2024M08,Suiza,98422.0,441191.0,4.482646156347158,2024,8,2024-08-01
151,2024M08,Otros Países Europeos,206026.0,768201.0,3.7286604603302496,2024,8,2024-08-01
152,2024M08,África,142567.0,402719.0,2.8247701080895298,2024,8,2024-08-01
153,2024M08,UE28 sin España,5497950.0,25550159.0,4.647215598541274,2024,8,2024-08-01
154,2024M08,UE27_2020 sin España,4164680.0,17885634.0,4.294599825196654,2024,8,2024-08-01
155,2024M08,Resto del Mundo,312168.0,838069.0,2.684672996591579,2024,8,2024-08-01
156,2024M08,América (sin EEUU),459857.0,1110025.0,2.413848218032997,2024,8,2024-08-01
157,2024M08,Estados Unidos de América,390344.0,936141.0,2.3982461623593547,2024,8,2024-08-01
158,2024M08,Japón,33221.0,67038.0,2.0179404593480026,2024,8,2024-08-01
159,2024M08,Asia (sin Japón),,,,2024,8,2024-08-01
160,2024M07,Total,12692328.0,43918939.0,3.460274505985033,2024,7,2024-07-01
161,2024M07,Residentes en España,5756518.0,14743902.0,2.5612535216601424,2024,7,2024-07-01
162,2024M07,Residentes en el Extranjero,6935810.0,29175038.0,4.206435585749898,2024,7,2024-07-01
163,2024M07,Alemania,832821.0,4634009.0,5.564231689642792,2024,7,2024-07-01
164,2024M07,Austria,65281.0,287432.0,4.402996277630551,2024,7,2024-07-01
165,2024M07,Bélgica,235295.0,1002153.0,4.2591342782464565,2024,7,2024-07-01
166,2024M07,Dinamarca,84763.0,418355.0,4.935585101990255,2024,7,2024-07-01
167,2024M07,Finlandia,22360.0,84936.0,3.798568872987478,2024,7,2024-07-01
168,2024M07,Francia,725973.0,2434299.0,3.3531536296804427,2024,7,2024-07-01
169,2024M07,Grecia,15331.0,46679.0,3.0447459395995042,2024,7,2024-07-01
170,2024M07,Irlanda,167416.0,928180.0,5.544153485927271,2024,7,2024-07-01
171,2024M07,Italia,367301.0,1292013.0,3.5175863937206815,2024,7,2024-07-01
172,2024M07,Luxemburgo,9420.0,41968.0,4.4552016985138,2024,7,2024-07-01
173,2024M07,Países Bajos,340058.0,1531236.0,4.502867157955408,2024,7,2024-07-01
174,2024M07,Polonia,157004.0,867696.0,5.52658530992841,2024,7,2024-07-01
175,2024M07,Portugal,254474.0,857672.0,3.3703718258053867,2024,7,2024-07-01
176,2024M07,República Checa,50290.0,284236.0,5.651938755219725,2024,7,2024-07-01
177,2024M07,Suecia,89840.0,388025.0,4.3190672306322355,2024,7,2024-07-01
178,2024M07,Resto de la U.E.,196822.0,813305.0,4.132185426425908,2024,7,2024-07-01
179,2024M07,Noruega,71165.0,371003.0,5.213278999508185,2024,7,2024-07-01
180,2024M07,Reino Unido,1311285.0,7466689.0,5.6941770858356495,2024,7,2024-07-01
181,2024M07,Rusia,,,,2024,7,2024-07-01
182,2024M07,Suiza,152258.0,689153.0,4.526218655177396,2024,7,2024-07-01
183,2024M07,Otros Países Europeos,220230.0,848980.0,3.8549698042955094,2024,7,2024-07-01
184,2024M07,África,113276.0,294009.0,2.595510081570677,2024,7,2024-07-01
185,2024M07,UE28 sin España,4925734.0,23378883.0,4.746273956328133,2024,7,2024-07-01
186,2024M07,UE27_2020 sin España,3614448.0,15912194.0,4.402385647822295,2024,7,2024-07-01
187,2024M07,Resto del Mundo,331313.0,905151.0,2.732011723053427,2024,7,2024-07-01
188,2024M07,América (sin EEUU),508140.0,1239501.0,2.4392903530523085,2024,7,2024-07-01
189,2024M07,Estados Unidos de América,489061.0,1204142.0,2.46215093822652,2024,7,2024-07-01
190,2024M07,Japón,27217.0,56999.0,2.094242568982621,2024,7,2024-07-01
191,2024M07,Asia (sin Japón),,,,2024,7,2024-07-01
192,2024M06,Total,11865112.0,38185201.0,3.2182756471241065,2024,6,2024-06-01
193,2024M06,Residentes en España,5419681.0,12347782.0,2.2783226540455055,2024,6,2024-06-01
194,2024M06,Residentes en el Extranjero,6445432.0,25837418.0,4.00864022768373,2024,6,2024-06-01
195,2024M06,Alemania,835373.0,4495932.0,5.381945550071644,2024,6,2024-06-01
196,2024M06,Austria,60029.0,239892.0,3.9962684702393845,2024,6,2024-06-01
197,2024M06,Bélgica,134241.0,593618.0,4.422032017043973,2024,6,2024-06-01
